AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,9.1,5.3,7.3,4.3,4.8,23.8,4.3,8.8,7.0,6.7
Cash_from_Operations,41.0,0.0,28.4,15.6,-4.4,12.3,10.7,15.7,5.9,13.5
Diluted_EPS,3.324,6.416,-2.138,5.51,2.206,-1.944,-1.883,6.954,5.562,15.449000000000002
Goodwill_Intangibles,0.1,0.1,0.1,14.4,14.5,15.2,13.6,11.6,12.7,15.5
LT_Debt,9.6,14.7,19.0,15.8,21.5,23.6,4.6,5.0,2.0,8.8
Net_Income,3.6,7.0,-2.6,6.6,2.6,-2.3,-2.3,8.6,6.9,18.9
Revenue,191.5,184.6,201.1,197.2,201.2,168.0,168.0,178.6,200.7,181.3
Shares_Diluted,1.0857,1.0912,1.1957,1.1959,1.1962,1.1963,1.2111,1.2372,1.2364,1.223
Total_Assets,137.9,116.3,120.9,124.9,130.2,139.9,104.7,118.6,120.0,114.3
Total_Liabilities,97.9,79.0,90.4,92.5,102.6,111.9,74.2,86.8,95.9,82.5
