AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,03/31/2015
Capital_Expenditures,85.2,85.3,63.2,50.9,37.7,40.9,40.9,19.2,
Cash_from_Operations,327.1,329.8,492.1,339.6,346.0,208.7,303.8,47.7,
Diluted_EPS,1.543,1.095,1.225,0.836,1.049,0.835,0.214,-2.304,-0.8909999999999999
Goodwill_Intangibles,4909.3,4904.9,4369.9,4249.1,4251.4,3736.5,3738.9,3387.3,0.0
LT_Debt,2306.8,2367.1,1869.6,1989.5,1876.8,1502.2,1563.3,1482.7,0.0
Net_Income,269.0,194.9,242.5,165.8,184.3,147.0,39.2,-335.4,-137.5
Revenue,3165.5,2806.8,2709.1,2502.8,2339.7,2106.9,2075.7,889.2,1695.9
Shares_Diluted,174.2796,178.0708,197.8941,198.4259,175.7936,176.0803,183.5286,145.5908,154.2519
Total_Assets,6811.9,6644.7,6009.2,6358.0,5751.0,4955.1,5071.2,4902.1,505.5
Total_Liabilities,4005.6,4169.2,3719.8,3603.6,3532.9,2960.2,3022.6,3024.6,194.9
