AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.0,0.0,,,,
Cash_from_Operations,-39.8,-37.7,-0.6,-0.8,-0.5,-0.1
Diluted_EPS,-0.604,-7.436,-0.398,0.08,0.007,-0.012
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,2.8,0.0,2.7,2.0,0.7,0.0
Net_Income,-39.8,-348.9,-1.1,0.4,0.1,-0.1
Revenue,,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,65.7668,46.9177,2.7363,5.0884,8.925,9.0355
Total_Assets,25.8,32.7,6.1,32.1,70.8,69.6
Total_Liabilities,18.4,11.9,3.9,2.6,1.3,0.1
