AAII_YR_DATA,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,01/31/2016,09/30/2015,09/30/2014
Capital_Expenditures,0.1,0.1,2.1,0.6,0.2,0.0,0.2,0.0,0.0
Cash_from_Operations,-7.1,-4.2,-4.4,-2.3,-1.4,-1.1,-1.4,-1.7,-1.2
Diluted_EPS,-1.13,-0.683,-0.879,-0.292,-0.165,-0.124,-0.147,-0.312,-0.094
Goodwill_Intangibles,,0.0,0.0,0.1,0.1,,,,
LT_Debt,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0
Net_Income,-18.6,-9.5,-12.2,-3.6,-1.8,-1.3,-1.5,-3.1,-1.1
Revenue,1.9,1.4,1.8,1.4,1.6,0.5,0.1,0.1,0.1
Shares_Diluted,16.4132,13.8676,13.8676,12.234,10.7117,10.2507,10.0013,10.0402,11.6384
Total_Assets,13.7,8.2,5.3,3.0,1.3,0.5,0.5,0.5,0.4
Total_Liabilities,1.5,1.8,1.2,0.7,0.6,0.9,0.2,0.7,0.1
