AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1756.6,916.2,842.4,1291.7,1393.6,1102.9,1022.2,698.6,606.4,512.3
Cash_from_Operations,11408.6,7954.1,7513.2,6765.6,6511.9,5953.7,6987.2,5120.1,4816.9,4104.0
Diluted_EPS,3.534,2.999,2.604,2.368,2.304,2.225,2.164,1.809,1.53,1.479
Goodwill_Intangibles,7435.8,6243.4,2987.4,843.9,744.1,480.9,392.5,288.6,209.4,255.5
LT_Debt,3516.9,1874.4,419.0,435.2,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,8030.0,6906.6,6094.0,5633.1,5586.4,5514.4,5484.7,4661.8,4024.8,3984.1
Revenue,25591.1,20362.5,18358.9,17646.7,16173.0,16153.5,16165.6,14433.1,13497.6,13221.1
Shares_Diluted,2272.3,2303.1,2340.0,2378.658,2424.417,2478.093,2534.729,2577.698,2630.218,2693.625
Total_Assets,34890.6,28129.7,20958.6,18166.0,16019.4,14802.6,14106.1,12276.3,11712.7,11127.3
Total_Liabilities,22816.8,17898.5,11800.6,9836.9,8522.5,7598.3,7559.3,5995.1,5588.4,4392.9
