AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,5.6,3.4,3.8,46.0,14.9,10.8,95.9,171.2
Cash_from_Operations,-0.5,-7.9,-13.6,-1.6,-7.1,2.3,2.0,-5.2
Diluted_EPS,-26.541,-24.318,-25.667,-13.735,-15.129,-14.477,-12.401,-1.238
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,394.2,398.1,396.6,395.0,291.7,233.5,95.3,93.2
Net_Income,-45.9,-39.5,-41.0,-21.9,-24.1,-23.1,-19.8,-15.8
Revenue,64.0,70.2,62.9,70.5,62.4,58.4,47.6,26.4
Shares_Diluted,1.7293,1.6229,1.5959,1.5938,1.5938,1.5938,1.5938,12.7503
Total_Assets,790.5,823.1,861.8,901.4,773.7,760.5,773.6,726.4
Total_Liabilities,489.4,484.1,484.3,480.8,330.1,279.0,233.4,130.3
