AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.1,0.5,0.0,,,
Cash_from_Operations,-7.5,-14.7,-8.5,-2.6,0.0,0.0,0.0
Diluted_EPS,-0.66,-1.104,-1.272,-0.56,-0.003,-0.002,0.0
Goodwill_Intangibles,0.4,0.3,0.1,0.0,,,
LT_Debt,0.9,0.5,0.3,2.8,0.0,0.0,0.0
Net_Income,-13.5,-19.4,-12.1,-3.0,0.0,0.0,0.0
Revenue,2.2,0.3,0.2,0.3,0.0,0.0,0.0
Shares_Diluted,20.4285,17.5681,9.5093,5.397,9.9999,9.9999,9.9999
Total_Assets,28.5,4.3,2.7,0.7,0.0,0.0,0.0
Total_Liabilities,13.4,16.7,17.5,8.6,0.1,0.0,0.0
