AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,37.0,33.0,17.3,28.0,20.0,2.9,,
Cash_from_Operations,730.0,-5794.0,681.9,-272.1,-1179.6,-218.6,-197.4,-78.5
Diluted_EPS,-2.158,-1.117,-0.468,-0.626,-0.443,-0.156,-0.085,-0.028
Goodwill_Intangibles,16.0,72.0,39.6,43.4,13.1,,,
LT_Debt,3979.0,2816.0,135.5,362.0,100.5,0.0,0.0,0.0
Net_Income,-1353.0,-662.0,-253.0,-341.0,-241.3,-84.8,-46.3,-15.1
Revenue,15567.0,8021.0,2583.0,4740.6,1838.1,711.1,338.7,53.5
Shares_Diluted,627.105,592.574,540.7147,544.4226,544.4226,544.4226,544.4226,544.4226
Total_Assets,6608.0,9506.0,2175.6,2231.7,1842.3,514.4,423.2,118.6
Total_Liabilities,5522.0,7258.0,575.6,1583.3,1193.3,331.0,164.4,28.3
