AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-15.3,-7.3,-3.9,-2.7,-2.4,-3.4,-2.4,-3.9,-3.4
Diluted_EPS,-67.914,-34.623,-24.664,-43.506,-50.664,-116.362,-65.815,-3.501,-6.91
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,5.2,0.0,0.0,0.0,0.0,0.3,0.0,3.0,3.3
Net_Income,-34.9,-10.1,-4.8,-6.2,-5.9,-10.4,-5.1,-4.9,-3.5
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,,1.4
Shares_Diluted,0.5144,0.2927,0.1933,0.1425,0.1166,0.0892,0.0777,1.4073,0.511
Total_Assets,5.0,12.9,9.8,3.1,1.9,0.8,0.9,1.7,2.5
Total_Liabilities,13.0,2.7,1.4,1.8,1.6,4.5,5.5,4.4,3.8
