AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Cash_from_Operations,0.1,0.1,0.1,-0.3,-0.8,-0.2,-0.9,-0.5,-6.7
Diluted_EPS,-0.023,-0.009,-0.002,-0.193,-0.116,-0.221,0.281,-0.479,-1.567
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.4,1.5,1.5,1.6,1.6,0.9,1.0,0.5,0.0
Net_Income,-0.1,0.0,0.0,-0.8,-0.5,-0.9,1.0,-1.8,-5.4
Revenue,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.8,1.1
Shares_Diluted,5.1887,5.1887,5.1887,4.2887,4.2887,4.2634,3.6698,3.6571,3.4424
Total_Assets,1.0,1.0,1.1,0.9,1.2,1.2,1.4,16.0,16.4
Total_Liabilities,2.0,2.0,1.9,2.7,2.3,1.9,1.7,17.4,16.1
