AAII_YR_DATA,10/02/2022,10/03/2021,09/27/2020,09/29/2019,09/30/2018,10/01/2017,10/02/2016,09/27/2015,09/28/2014,09/29/2013
Capital_Expenditures,1.8,1.0,0.5,0.6,0.6,0.4,0.4,0.6,0.2,0.4
Cash_from_Operations,1.5,3.3,3.7,1.9,1.8,1.8,1.5,1.1,0.7,0.4
Diluted_EPS,0.01,0.037,0.037,0.015,0.014,0.017,0.026,0.008,0.0,0.003
Goodwill_Intangibles,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
LT_Debt,4.2,5.0,5.8,1.2,1.4,3.0,3.1,3.4,3.5,3.6
Net_Income,0.7,2.8,2.8,1.1,1.0,1.3,1.9,0.6,0.0,0.2
Revenue,10.7,11.9,9.5,6.2,6.0,6.2,5.0,4.4,4.0,3.8
Shares_Diluted,75.186,75.094,74.964,74.791,74.707,74.645,74.499,74.348,74.205,74.074
Total_Assets,21.1,21.0,19.5,10.8,9.7,10.3,9.4,7.8,7.2,7.0
Total_Liabilities,5.7,6.4,7.8,1.8,1.9,3.5,3.8,4.2,4.2,4.0
