AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,72.7,92.5,108.4,116.3,113.7,99.2,156.0
Cash_from_Operations,487.9,610.8,394.0,542.1,279.0,601.6,470.7
Diluted_EPS,0.449,0.998,0.66,-3.792,1.338,0.767,0.879
Goodwill_Intangibles,3834.1,3978.2,3918.7,4550.7,6827.3,8342.5,7669.5
LT_Debt,2078.3,891.1,1409.4,3204.8,2707.7,2489.5,2238.3
Net_Income,349.0,777.4,536.8,-3089.7,1088.1,622.7,711.3
Revenue,5115.2,5459.0,5966.6,6018.2,5907.1,6002.3,6701.7
Shares_Diluted,777.5,778.7,813.7,814.8,813.3,811.9,808.9
Total_Assets,10114.1,10451.2,10428.7,13308.3,15382.6,15068.0,14451.9
Total_Liabilities,4411.8,4480.6,5123.1,7565.1,6902.7,7163.1,6915.9
