AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013
Capital_Expenditures,0.3,0.3,0.0,0.5,0.2,0.2,0.3,0.5,0.0,0.3
Cash_from_Operations,1.0,1.1,2.0,0.6,0.5,0.6,0.7,-0.3,-0.9,0.6
Diluted_EPS,-0.012,-0.036,-0.227,0.134,0.062,-0.235,-0.213,-0.1119999999999999,-0.204,-0.065
Goodwill_Intangibles,1.6,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.9,
LT_Debt,5.8,5.0,5.7,5.7,5.6,5.1,4.9,5.0,6.3,3.8
Net_Income,-0.1,-0.5,-2.9,1.7,0.8,-3.0,-2.8,-1.4,-2.6,-0.8
Revenue,12.0,9.4,12.8,12.6,10.6,9.5,9.9,15.0,17.2,10.6
Shares_Diluted,12.9253,12.9253,12.9253,12.9253,12.9253,12.9253,12.9253,12.9253,12.9253,12.9253
Total_Assets,13.4,8.9,8.4,12.0,9.0,7.7,8.9,11.3,11.8,10.0
Total_Liabilities,12.1,7.5,7.5,9.3,9.4,10.0,9.3,9.9,11.7,8.6
