AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,145.5,174.8,242.8,216.6,142.3,181.1,241.8,152.5,147.8
Cash_from_Operations,1875.5,3104.2,2451.2,2032.5,1596.1,1122.0,1470.5,1167.2,1617.3
Diluted_EPS,1.068,0.623,0.93,1.026,0.979,-0.617,1.044,0.893,1.037
Goodwill_Intangibles,13751.4,12943.4,14242.3,10336.3,11196.6,10984.2,12299.8,8995.2,9383.6
LT_Debt,5491.6,5759.5,6784.1,3612.9,503.4,3003.8,2996.4,1583.0,415.2
Net_Income,1074.9,602.8,880.2,961.8,902.2,-551.6,943.0,813.5,928.9
Revenue,12285.1,11290.8,11513.8,10414.8,10723.6,10186.7,10048.5,8197.5,8154.5
Shares_Diluted,1006.78,967.7064,946.4344,938.2576,922.6944,893.9956,904.072,911.09,911.09
Total_Assets,34377.0,31566.8,34181.2,28342.2,24888.4,26056.4,26632.0,23305.5,20066.6
Total_Liabilities,25388.7,24050.1,26435.3,21169.8,18654.8,19719.2,19770.5,16428.9,14091.2
