AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,62.5,34.5,21.2,28.0,65.5,61.1,80.9,83.8,108.4
Cash_from_Operations,392.3,236.5,215.4,227.5,110.5,354.1,231.0,19.1,134.3
Diluted_EPS,2.019,3.733,3.102,0.156,0.124,-1.98,-17.974,1.815,2.334
Goodwill_Intangibles,714.9,78.1,79.0,57.3,57.5,60.6,221.7,1378.0,1373.5
LT_Debt,1571.2,190.5,230.9,540.0,667.2,724.2,955.8,1042.8,916.3
Net_Income,134.9,208.1,173.5,8.5,6.7,-105.2,-953.5,96.4,128.8
Revenue,4583.5,2814.2,2669.9,2660.5,2702.5,2963.3,3278.4,3157.8,3094.0
Shares_Diluted,66.839,55.754,55.955,54.542,53.844,53.121,53.05,53.12600000000001,55.162
Total_Assets,2993.3,1751.0,1582.8,1396.9,1420.8,1602.7,1974.5,3271.2,3018.2
Total_Liabilities,2480.1,1158.9,1123.8,1110.4,1148.3,1337.8,1590.9,1881.8,1682.3
