AAII_YR_DATA,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015,12/28/2013
Capital_Expenditures,0.4,1.5,1.0,0.8,2.8,2.1,1.4
Cash_from_Operations,-4.8,-0.1,5.1,11.6,12.5,4.2,-3.8
Diluted_EPS,0.313,0.22,0.166,0.142,0.466,0.535,0.159
Goodwill_Intangibles,16.8,18.3,11.8,12.5,12.1,10.4,9.8
LT_Debt,35.0,27.5,27.3,14.3,21.0,20.0,0.0
Net_Income,4.1,2.7,2.0,1.8,6.0,6.8,2.0
Revenue,191.1,200.4,186.7,176.4,185.7,193.8,170.8
Shares_Diluted,12.9722,12.3576,12.1172,12.4233,12.901,12.7306,12.4784
Total_Assets,96.2,81.5,73.3,69.8,81.3,87.3,86.5
Total_Liabilities,63.8,54.3,51.2,38.6,49.1,44.4,25.1
