AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,3.7,3.0,3.5,0.4,,0.4,0.3,0.1
Cash_from_Operations,10.0,-14.8,-0.6,1.2,,-4.4,0.5,-4.5
Diluted_EPS,3.624,2.492,2.062,1.016,0.626,0.552,0.468,
Goodwill_Intangibles,27.8,28.2,28.7,29.3,,0.7,0.8,0.7
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,30.9,21.3,17.5,12.3,6.8,6.5,5.4,
Revenue,72.1,63.4,51.7,37.4,26.3,22.3,19.9,
Shares_Diluted,8.5391,8.5359,8.5127,12.0771,10.8617,10.7896,11.761,11.6005
Total_Assets,1744.5,1701.2,1422.9,1071.0,662.4,630.0,588.2,513.3
Total_Liabilities,1546.8,1515.2,1254.4,919.9,,572.7,537.5,469.2
