AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,52.0,106.6,97.1,106.4,41.8,10.0
Cash_from_Operations,-158.2,-141.5,-83.6,-333.2,-114.8,-30.3
Diluted_EPS,-0.712,-0.866,-0.713,-0.299,-0.193,-0.085
Goodwill_Intangibles,10.5,9.6,6.9,6.6,,
LT_Debt,849.4,730.0,392.9,173.2,138.9,35.4
Net_Income,-86.4,-102.4,-78.4,-114.5,-74.8,-32.8
Revenue,470.7,637.6,656.8,750.4,423.2,146.0
Shares_Diluted,121.3126,118.3608,109.8544,382.7782,386.6896,386.6896
Total_Assets,597.1,794.6,884.8,885.6,555.2,66.4
Total_Liabilities,485.7,623.1,576.7,552.5,257.0,100.3
