AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014
Capital_Expenditures,0.1,0.6,0.3,0.3,0.4,0.5,0.7,1.4,1.9,2.3
Cash_from_Operations,-2.0,-4.7,-9.4,-14.8,-21.5,12.9,-28.5,-18.7,-13.3,7.4
Diluted_EPS,-4.585,-3.16,-11.614,-4.862,-21.295,7.565,-40.749,-1.424,-0.8390000000000001,-0.093
Goodwill_Intangibles,0.0,9.9,11.8,12.1,8.8,26.9,25.9,44.3,48.3,58.0
LT_Debt,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-11.4,-7.4,-21.8,-8.9,-38.0,13.5,-71.2,-47.7,-27.5,-3.0
Revenue,32.5,27.3,22.0,67.2,62.4,80.3,83.8,107.0,115.4,146.3
Shares_Diluted,2.4875,2.3515,1.8736,1.835,1.7846,1.7843,1.7485,33.506,32.772,32.718
Total_Assets,42.7,55.2,50.4,72.9,78.7,119.3,116.1,177.7,212.4,254.1
Total_Liabilities,11.4,12.7,18.9,23.0,23.6,33.6,46.5,46.7,41.3,49.7
