AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,50.8,41.7,56.8,28.0,20.0,23.8,16.5,20.6,3.5
Cash_from_Operations,504.4,425.0,70.6,9.3,7.9,14.0,15.8,-0.8,1.4
Diluted_EPS,2.288,0.259,-0.11,-0.061,-0.042,-0.042,-0.03,-0.3,-0.065
Goodwill_Intangibles,495.0,447.5,479.1,64.1,37.5,21.9,8.2,5.1,3.3
LT_Debt,911.0,758.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0
Net_Income,2914.7,319.5,-124.8,-64.6,-40.0,-35.4,-18.8,-22.3,-4.8
Revenue,4611.9,2929.5,1578.2,1073.2,673.3,389.3,205.2,105.0,50.3
Shares_Diluted,1273.647,1234.633,1130.264,1056.718,957.749,839.886,617.1607,74.4374,74.4374
Total_Assets,13340.2,7762.9,3489.5,2254.8,1113.6,490.6,243.7,95.2,95.8
Total_Liabilities,2206.8,1362.2,473.7,164.0,112.5,80.1,48.4,27.5,10.4
