AAII_YR_DATA,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,108.7,152.6,136.3,97.9,84.3,73.8,49.6
Cash_from_Operations,-50.5,278.7,195.1,206.2,101.6,230.7,162.6
Diluted_EPS,-1.016,0.575,0.764,0.786,-0.827,0.412,-0.337
Goodwill_Intangibles,46.4,150.0,153.7,245.2,131.4,177.4,167.0
LT_Debt,317.3,27.2,30.5,2.6,3.2,1.2,11.1
Net_Income,-205.3,118.1,157.5,157.6,-167.6,85.1,-68.8
Revenue,3806.1,5147.3,4998.4,3939.4,3609.9,4897.9,5446.2
Shares_Diluted,202.139,205.575,206.123,200.376,202.737,206.354,204.41
Total_Assets,2481.5,2465.5,2478.2,2123.1,1989.9,2230.5,2050.6
Total_Liabilities,947.2,686.3,784.1,600.2,571.5,595.2,631.2
