AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,51.7,96.9,48.6,73.8,66.6,69.7,34.2,49.5,51.1
Cash_from_Operations,9.8,97.6,90.5,53.5,83.6,73.6,58.9,41.2,76.9
Diluted_EPS,-0.721,-0.226,0.193,0.036,0.154,-0.039,-0.102,-0.272,0.075
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,5.0,75.6,109.3,134.8,38.5,48.5,66.6,77.0,66.1
Net_Income,-118.2,-37.0,31.6,6.0,25.4,-6.3,-16.6,-43.8,11.9
Revenue,259.5,367.4,333.5,309.4,313.9,277.1,193.4,176.3,221.1
Shares_Diluted,163.844,163.276,164.047,164.705,164.676,162.554,161.908,161.013,159.303
Total_Assets,419.3,536.0,593.8,555.7,481.4,460.0,492.8,484.7,543.6
Total_Liabilities,309.1,307.4,322.3,317.0,247.3,251.3,276.3,259.9,281.1
