AAII_YR_DATA,01/29/2022,01/30/2021,02/01/2020,02/02/2019,02/03/2018,01/28/2017,01/30/2016,01/31/2015,02/01/2014
Capital_Expenditures,53.5,19.8,30.4,17.9,41.2,39.4,34.0,30.2,20.4
Cash_from_Operations,-21.6,238.8,77.9,32.2,30.8,15.5,35.4,20.5,0.0
Diluted_EPS,2.435,2.057,0.464,0.553,0.417,0.698,0.656,0.343,0.527
Goodwill_Intangibles,1.8,1.8,1.7,0.2,0.3,2.1,7.8,5.7,7.5
LT_Debt,0.0,0.0,23.8,27.7,132.3,133.7,146.3,156.7,229.3
Net_Income,108.5,91.4,20.2,23.8,17.7,29.7,27.8,13.8,21.8
Revenue,1506.1,1451.8,886.4,849.1,809.7,780.0,706.8,639.9,643.2
Shares_Diluted,44.543,44.43,43.588,42.979,42.522,42.485,42.334,40.141,40.141
Total_Assets,840.6,660.8,616.6,388.9,379.7,346.2,301.3,270.7,224.2
Total_Liabilities,526.4,456.2,506.4,310.2,329.9,316.2,303.4,302.1,345.3
