AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3.6,3.7,2.2,2.8,1.8,2.1,1.0,1.7,0.0,5.2
Cash_from_Operations,-1.1,1.5,2.1,2.2,2.9,4.1,0.3,-6.6,-17.7,-19.4
Diluted_EPS,-0.16,-0.079,-0.131,-0.119,-0.206,-7.928,-1.574,-16.346,-15.136,-30.246
Goodwill_Intangibles,26.2,18.9,15.1,16.8,18.6,20.6,22.2,32.1,0.3,0.0
LT_Debt,7.5,7.3,1.1,0.0,7.1,7.9,21.8,19.7,5.0,0.0
Net_Income,-5.5,-2.7,-4.4,-3.8,-4.0,-21.5,-3.3,-27.9,-16.0,-25.9
Revenue,36.2,30.0,23.1,31.6,29.9,31.8,31.8,18.5,0.9,0.5
Shares_Diluted,34.7122,34.0503,33.6099,31.9787,19.589,2.7138,2.119,1.7073,1.0592,0.8579
Total_Assets,52.3,46.6,46.8,47.3,47.5,39.1,43.2,50.1,20.1,14.1
Total_Liabilities,30.4,21.2,20.9,18.7,16.3,19.3,28.5,34.0,7.8,5.8
