AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3.6,2.3,2.9,6.8,7.8,2.3,2.9,5.3
Cash_from_Operations,247.3,137.2,276.1,197.8,148.0,46.1,51.7,35.8
Diluted_EPS,9.374,3.328,8.988,8.191,4.122,-0.255,2.247,2.709
Goodwill_Intangibles,514.0,529.6,545.6,320.7,336.7,293.8,86.5,1.0
LT_Debt,0.0,0.0,50.2,60.6,141.0,157.4,0.0,0.0
Net_Income,178.7,59.2,168.6,150.6,75.2,-4.2,36.9,44.2
Revenue,758.0,571.9,586.9,468.7,364.3,214.0,147.3,127.8
Shares_Diluted,19.059,17.795,18.762,18.387,18.251,16.436,16.417,16.298
Total_Assets,1297.3,902.5,852.8,679.1,610.1,528.6,254.7,187.1
Total_Liabilities,323.2,236.9,239.1,181.3,237.4,289.6,49.7,15.4
