AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3126.3,4425.9,4304.9,5216.6,5241.3,5309.0,5543.1,5188.3
Cash_from_Operations,2130.1,8298.3,8425.0,7139.7,4523.0,5481.8,7115.8,7732.4
Diluted_EPS,-2.254,1.479,1.61,2.132,0.214,-1.099,1.467,1.993
Goodwill_Intangibles,2650.1,2435.1,2437.5,2437.5,2448.7,2451.8,2811.0,2616.0
LT_Debt,13097.7,12346.8,11060.7,10648.3,12823.0,11535.3,9945.1,7811.2
Net_Income,-3439.3,2308.5,2622.2,3549.9,345.6,-1588.6,2149.2,2994.2
Revenue,19638.6,30533.7,30691.4,25445.3,21346.7,23258.6,31742.5,30839.1
Shares_Diluted,1526.0,1561.0,1629.0,1665.0,1612.0,1446.0,1465.0,1502.0
Total_Assets,67380.6,71218.0,71332.7,71265.0,70634.3,61735.5,63442.8,59956.4
Total_Liabilities,38906.9,37739.5,36291.0,35126.0,35095.0,30648.4,30313.9,28429.8
