AAII_YR_DATA,03/28/2020,03/30/2019,03/31/2018,04/01/2017,02/27/2016,02/28/2015,03/01/2014
Capital_Expenditures,33.6,33.7,27.6,28.5,46.4,48.7,48.4
Cash_from_Operations,30.7,54.9,62.2,44.6,42.3,64.6,50.6
Diluted_EPS,0.296,0.448,0.404,0.311,0.107,0.467,-2.873
Goodwill_Intangibles,425.6,428.0,432.2,429.5,431.2,432.2,445.1
LT_Debt,317.5,255.0,277.4,312.0,316.1,326.8,327.7
Net_Income,14.5,21.7,19.4,15.0,5.1,22.7,-51.6
Revenue,916.0,895.1,857.2,819.9,794.6,781.9,748.5
Shares_Diluted,49.7126,48.9646,48.4004,48.1477,48.016,47.9857,48.5209
Total_Assets,1166.8,748.7,749.4,761.8,758.1,769.1,783.1
Total_Liabilities,895.1,484.1,500.7,540.0,551.1,567.2,586.0
