AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.4,0.4,0.1,0.1,0.0,0.3,0.0,0.0,0.0
Cash_from_Operations,-176.2,-295.6,-214.5,-132.8,-128.9,-93.8,-61.6,-44.7,-35.1,-10.7
Diluted_EPS,-1.465,-2.633,-2.422,-1.956,-2.299,-1.909,-1.596,-1.379,-1.6369999999999998,-0.8059999999999999
Goodwill_Intangibles,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
LT_Debt,71.1,66.8,7.7,29.0,0.0,0.0,0.0,0.0,0.0,0.1
Net_Income,-198.3,-348.1,-279.4,-172.9,-173.5,-118.5,-78.3,-62.9,-55.8,-20.5
Revenue,2.8,6.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Shares_Diluted,135.4113,132.2228,115.3337,88.3688,75.4668,62.0696,49.0414,45.6464,34.0689,25.414
Total_Assets,193.6,379.6,625.6,163.0,83.6,97.4,54.8,113.5,86.7,48.1
Total_Liabilities,135.0,142.5,106.3,124.4,59.6,30.4,18.9,11.9,6.6,8.1
