AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1719.1,1599.6,1666.6,1475.4,1487.1,1345.9,1339.8,1553.1,1444.9
Cash_from_Operations,3129.6,2711.5,3070.5,2826.4,2437.4,2541.6,2450.0,2364.9,2076.4
Diluted_EPS,0.646,0.153,1.036,0.623,0.55,0.646,0.664,0.362,-0.382
Goodwill_Intangibles,11172.9,10744.6,9961.9,14154.2,9355.4,9584.5,9403.9,12418.3,10376.5
LT_Debt,11694.7,12065.3,10724.3,11011.6,9404.4,8297.3,7977.4,9405.9,11458.4
Net_Income,402.0,88.3,621.4,372.0,328.1,312.5,364.1,196.4,-200.2
Revenue,28348.5,25864.2,27036.4,25806.0,24679.4,24051.6,24825.0,26981.8,26874.8
Shares_Diluted,622.0,575.5209,599.9979,597.3013,595.953,589.6263,548.5,543.0,524.4
Total_Assets,52780.1,45109.9,40789.3,39074.2,38064.3,37736.7,36895.5,39235.6,42641.6
Total_Liabilities,41326.6,37911.0,34888.8,33237.4,30626.0,30030.9,28939.9,29843.5,32999.4
