AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,03/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,15.8,26.1,37.6,0.0,119.8,65.2
Cash_from_Operations,-259.7,-261.3,-165.7,0.0,-234.0,-310.1
Diluted_EPS,-1.564,-1.975,-1.119,0.0,-1.263,-1.637
Goodwill_Intangibles,5.0,16.2,,0.0,,
LT_Debt,218.9,14.6,15.4,0.0,158.2,39.7
Net_Income,-337.1,-343.0,-257.0,0.0,-289.9,-375.9
Revenue,101.3,74.0,32.3,,24.3,20.2
Shares_Diluted,215.5583,173.6926,229.5767,63.6,229.5767,229.5767
Total_Assets,619.0,679.1,390.8,0.0,514.4,334.2
Total_Liabilities,398.5,199.7,379.6,0.0,275.6,135.0
