AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,652.9,548.5,377.7,331.6,352.7,259.6,4.2
Cash_from_Operations,,1875.9,877.0,149.8,432.2,292.3,498.0,65.9
Diluted_EPS,1.306,0.901,0.464,0.473,0.494,0.404,0.214,0.084
Goodwill_Intangibles,141.4,87.6,109.9,117.2,166.7,130.2,167.7,0.8
LT_Debt,0.0,9.8,0.0,625.0,668.8,619.4,588.4,0.0
Net_Income,901.6,613.1,324.9,297.6,310.9,242.6,128.4,48.4
Revenue,15546.7,14193.7,12900.9,11128.6,8637.5,6136.2,3530.2,1571.8
Shares_Diluted,690.18,680.407,700.418,628.579,629.086,600.8405,601.138,577.476
Total_Assets,8996.1,7415.2,6649.0,5797.3,3830.2,3058.0,2587.2,161.7
Total_Liabilities,4646.5,4083.7,4014.3,3615.5,2955.3,2517.8,2197.4,125.0
