AAII_YR_DATA,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,3.8,4.2,4.5,4.0,4.6,5.3,3.2
Cash_from_Operations,35.8,34.8,41.4,37.2,42.8,38.3,44.4
Diluted_EPS,0.568,0.558,0.506,0.76,0.846,0.829,0.908
Goodwill_Intangibles,149.5,77.8,81.6,91.8,28.3,31.0,31.2
LT_Debt,75.8,44.9,50.1,54.6,0.0,0.0,0.0
Net_Income,24.4,23.8,21.6,32.2,35.5,34.7,38.0
Revenue,201.0,213.6,200.8,196.1,194.8,188.8,188.7
Shares_Diluted,42.899,42.754,42.571,42.393,42.012,41.913,41.895
Total_Assets,325.5,251.4,249.8,252.0,183.3,176.9,176.7
Total_Liabilities,134.5,76.0,80.2,85.6,17.4,15.9,21.7
