AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,44.1,36.2,21.5,18.0,21.7,20.5,27.8
Cash_from_Operations,224.4,296.7,149.1,300.2,283.0,251.2,315.1
Diluted_EPS,5.138,4.817,3.38,2.102,4.18,5.176,5.25
Goodwill_Intangibles,2046.3,2038.6,2139.0,2124.3,2489.0,2165.3,2612.7
LT_Debt,1257.1,1167.3,1313.3,1363.1,1439.1,1366.4,1447.6
Net_Income,223.4,227.3,163.5,101.6,210.7,275.9,276.4
Revenue,8358.9,8176.6,7679.0,7336.0,7518.5,7889.6,7513.3
Shares_Diluted,43.487,47.199,48.361,48.333,50.4,53.3,52.65
Total_Assets,5017.6,4605.0,4735.5,4431.8,4569.7,4754.4,4648.9
Total_Liabilities,2752.2,2469.7,2615.7,2464.9,2793.1,2825.8,2884.1
