AAII_YR_DATA,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-1.0,-0.3,-1.3,-4.4,-4.9,-0.1,0.0
Diluted_EPS,-0.014,-0.008,-0.022,-0.174,-0.622,-0.01,-0.005
Goodwill_Intangibles,,,,0.4,,,
LT_Debt,10.5,10.5,10.5,17.0,12.0,0.0,0.0
Net_Income,-1.5,-0.9,-2.4,-4.7,-5.1,-0.1,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,107.4835,107.4835,106.1478,27.3423,8.13,8.13,7.2781
Total_Assets,3.3,4.5,5.1,11.5,7.3,0.0,0.0
Total_Liabilities,12.8,12.4,12.2,18.1,12.4,0.1,0.0
