AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.3,3.0,4.5,0.1,0.0,0.2,0.0
Cash_from_Operations,-0.1,-6.6,-12.2,-8.4,-2.6,-28.4,-23.5
Diluted_EPS,-12.985,-76.783,-77.642,-94.966,-65.516,-734.121,-378.119
Goodwill_Intangibles,6.8,9.2,31.2,49.6,21.3,16.3,88.5
LT_Debt,5.8,0.0,6.5,6.5,0.0,0.0,0.0
Net_Income,-21.2,-37.2,-28.8,-24.0,-11.2,-109.7,-52.4
Revenue,48.5,50.1,48.8,12.0,22.7,1.4,1.1
Shares_Diluted,1.6344,0.4845,0.3714,0.2528,0.1703,0.1494,0.1387
Total_Assets,28.7,30.6,65.2,82.8,50.5,37.4,123.8
Total_Liabilities,35.0,21.5,24.4,23.3,9.9,6.3,9.5
