AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,1121.3,718.3,515.0,398.5,307.7,164.6,95.8
Cash_from_Operations,767.1,976.8,682.4,562.5,398.5,330.6,166.1
Diluted_EPS,0.839,1.121,0.902,0.682,0.469,0.276,0.086
Goodwill_Intangibles,1339.3,1053.3,970.7,914.9,846.0,761.1,433.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,668.1,879.2,679.1,489.6,297.5,201.9,63.0
Revenue,3906.7,3425.7,2727.6,2023.5,1516.7,943.0,604.8
Shares_Diluted,796.1475,784.3311,752.673,717.5996,634.5813,731.4064,731.4064
Total_Assets,9173.2,7110.3,6148.5,4001.7,3626.2,1639.6,770.7
Total_Liabilities,1584.4,1175.7,846.8,680.5,566.9,425.8,248.7
