CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.4,10/30/2022,0.55,10/6/2022,0.55,9/3/2022,0.55,7/31/2022,0.55,7/5/2022,0.55,6/3/2022,0.69,5/1/2022,0.69,3/11/2022,,2/3/2022,0.57,1/4/2022,0.57,12/4/2021,0.91,10/30/2021,0.91,9/22/2021,0.91,8/25/2021,0.88,7/24/2021,0.9,6/19/2021,0.9,5/22/2021,0.98,4/21/2021,0.98,4/11/2021
,,9/30/2023,,0.26,,0.35,,0.35,,0.31,,0.31,,0.31,,0.6,,0.6,,,,0.45,,0.45,,0.68,,0.66,,0.66,,0.72,,0.85,,0.85,,1.01,,1.01,
,,6/30/2023,,0.02,,0.11,,0.11,,0.16,,0.16,,0.16,,0.23,,0.23,,,,0.24,,0.28,,0.67,,0.69,,0.69,,0.72,,0.81,,0.81,,0.85,,0.85,
,,3/30/2023,,-0.19,,-0.16,,-0.16,,0.13,,0.13,,0.13,,0.25,,0.25,,,,0.07,,0.07,,0.73,,0.78,,0.78,,0.78,,0.84,,0.84,,0.7,,0.7,
,,12/31/2022,,0.2,,0.31,,0.31,,0.25,,0.25,,0.24,,0.56,,0.62,,0.59,,0.57,1/4/2022,0.57,12/4/2021,0.91,10/30/2021,0.91,9/22/2021,0.91,8/25/2021,0.88,7/24/2021,0.9,6/19/2021,0.9,5/22/2021,0.98,4/21/2021,0.98,4/11/2021
,10/26/2022,9/30/2022,0.1,0.21,,0.1,,0.1,,0.07,,0.07,,0.09,,0.48,,0.54,,0.49,,0.45,,0.45,,0.68,,0.66,,0.66,,0.72,,0.85,,0.85,,1.01,,1.01,
,7/27/2022,6/30/2022,-0.3,-0.19,,-0.28,,-0.26,,0.23,,0.23,,0.24,,0.24,,0.28,,0.67,,0.69,,0.69,,0.72,,0.81,,0.81,,0.85,,0.85,,,,,,,
,4/27/2022,3/31/2022,-1.95,-0.28,,0.1,,0.12,,0.07,,0.07,,0.73,,0.78,,0.78,,0.78,,0.84,,0.84,,0.7,,0.7,,,,,,,,,,,,,
,2/2/2022,12/31/2021,-0.03,0.27,,0.74,,0.74,,0.74,,0.75,,0.75,,0.74,,0.79,,0.79,,0.93,,0.93,4/11/2021,0.93,3/3/2021,0.89,2/4/2021,0.87,12/28/2020,0.84,11/27/2020,0.84,10/27/2020,0.76,10/22/2020,,,,
,10/27/2021,9/30/2021,0.31,0.5,,0.42,,0.42,,0.5,,0.77,,0.77,,0.92,,0.92,,0.92,,0.86,,0.87,,0.81,,0.81,,0.69,,,,,,,,,,,
