Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,12/31/2021,3.47,4/28/2020,3.47,3/19/2020,,,,,,,,,,,,,
,9/30/2021,2.4,,2.4,,,,,,,,,,,,,,
,6/30/2021,2.25,,2.25,,,,,,,,,,,,,,
,3/31/2021,1.72,,1.72,,,,,,,,,,,,,,
,12/31/2020,3.23,3/19/2020,3.22,3/19/2020,3.32,3/8/2020,3.32,,3.51,,3.56,,,,,,
,9/30/2020,2.14,,2.26,,2.38,,2.38,,2.41,,2.49,,,,,,
,6/30/2020,1.76,,2.28,,2.42,,2.42,,2.44,,2.39,,,,,,
4/28/2020,3/31/2020,0.86,,1.61,,1.78,,1.78,,1.83,,1.84,,,,,,
2/4/2020,12/31/2019,3.12,,3.02,,3.23,,3.24,,3.13,,3.12,,,,,,
10/29/2019,9/30/2019,2.07,,2.13,,2.22,,2.23,,,,,,,,,,
7/30/2019,6/28/2019,2.078021124,,2.11,,2.19,,,,,,,,,,,,
4/23/2019,3/29/2019,1.505019678,,1.72,,1.73,,1.74,,,,,,,,,,
1/23/2019,12/31/2018,2.457389342,,2.64,,2.63,,2.62,,,,,,,,,,
10/23/2018,9/28/2018,1.828121759,,1.9,,1.93,,1.95,,,,,,,,,,
7/24/2018,6/29/2018,1.984714042,,1.92,,1.94,,1.91,,,,,,,,,,
4/24/2018,3/29/2018,1.404390642,,1.55,,1.58,,1.6,,,,,,,,,,
1/23/2018,12/29/2017,-4.444987037,,2.44,,2.42,,2.35,,2.29,,2.33,,2.27,,,,
10/24/2017,9/29/2017,1.690291974,,1.74,,1.73,,1.69,,1.68,,1.67,,1.71,,1.64,,1.71
7/25/2017,6/30/2017,1.632349299,,1.71,,1.66,,1.65,,1.67,,1.7,,1.59,,1.34,,
4/25/2017,3/31/2017,1.306899924,,1.33,,1.37,,1.39,,,,,,,,,,
,12/30/2016,2.154038096,,2.13,,2.14,,2.13,,2.11,,2.1,,2.09,,,,
,9/30/2016,1.534083649,,1.57,,1.51,,1.54,,1.53,,,,,,,,
,6/30/2016,1.57408385,,1.45,,1.44,,1.43,,1.47,,,,,,,,
