Date,Amount
05/20/2019,0.35
02/15/2019,0.35
11/19/2018,0.32
08/20/2018,0.32
05/21/2018,0.32
02/16/2018,0.32
11/20/2017,0.3
08/18/2017,0.3
05/19/2017,0.3
02/17/2017,0.3
02/16/2017,0.3
11/10/2016,0.275
08/16/2016,0.275
05/20/2016,0.275
02/19/2016,0.275
11/13/2015,0.2
08/14/2015,0.2
05/19/2015,0.2
02/20/2015,0.2
11/14/2014,0.125
08/15/2014,0.125
05/21/2014,0.125
05/16/2014,0.25
02/21/2014,0.125
11/15/2013,0.1
08/02/2013,0.1
10/08/1992,0.0125
07/09/1992,0.0125
04/09/1992,0.0125
01/09/1992,0.0125
10/08/1991,0.0125
07/09/1991,0.0125
04/09/1991,0.0125
01/09/1991,0.0125
10/05/1990,0.0125
07/09/1990,0.0125
04/06/1990,0.0125
01/08/1990,0.0125
10/06/1989,0.0125
07/10/1989,0.0125
04/10/1989,0.0125
01/09/1989,0.0125
10/07/1988,0.01
07/11/1988,0.01
04/11/1988,0.01
01/11/1988,0.01
10/08/1987,0.04
07/09/1987,0.01
04/09/1987,0.01
01/09/1987,0.01
10/08/1986,0.01
07/09/1986,0.01
04/09/1986,0.01
01/09/1986,0.01
10/08/1985,0.01
07/09/1985,0.01
04/09/1985,0.00875
01/08/1985,0.00875
10/10/1984,0.00875
07/10/1984,0.00875
04/10/1984,0.00875
01/10/1984,0.00875
10/18/1983,0.0075
06/09/1983,0.0075
03/21/1983,0.0075
