Date,Amount
05/15/2025,0.26
03/18/2025,0.26
11/14/2024,0.25
08/15/2024,0.25
06/13/2024,0.25
03/13/2024,0.25
11/07/2023,0.24
08/09/2023,0.24
05/10/2023,0.24
03/08/2023,0.24
11/09/2022,0.22
08/10/2022,0.22
05/11/2022,0.22
03/09/2022,0.22
11/10/2021,0.2
08/04/2021,0.2
05/05/2021,0.2
03/10/2021,0.2
11/02/2000,0.25
08/03/2000,0.25
05/02/2000,0.25
01/31/2000,0.25
11/02/1999,0.25
08/02/1999,0.25
04/30/1999,0.25
02/03/1999,0.25
11/02/1998,0.25
08/04/1998,0.25
04/29/1998,0.25
01/30/1998,0.25
10/31/1997,0.25
08/04/1997,0.25
04/30/1997,0.25
01/30/1997,0.25
10/31/1996,0.25
08/01/1996,0.25
05/02/1996,0.25
03/13/1996,0.25
