Date,Amount
04/29/2019,0.2
02/04/2019,0.2
10/22/2018,0.2
08/27/2018,0.2
04/30/2018,0.18
02/05/2018,0.18
10/23/2017,0.18
08/18/2017,0.18
04/28/2017,0.18
02/03/2017,0.18
10/21/2016,0.18
08/19/2016,0.18
04/29/2016,0.18
02/05/2016,0.18
10/23/2015,0.18
09/03/2015,0.18
05/08/2015,0.18
02/06/2015,0.18
10/24/2014,0.18
08/22/2014,0.18
05/09/2014,0.18
02/07/2014,0.18
10/25/2013,0.18
08/23/2013,0.18
05/10/2013,0.18
02/08/2013,0.18
10/19/2012,0.18
08/24/2012,0.18
04/27/2012,0.18
01/27/2012,0.18
10/21/2011,0.18
08/26/2011,0.18
04/29/2011,0.18
01/28/2011,0.18
10/22/2010,0.18
08/27/2010,0.18
04/29/2010,0.18
01/29/2010,0.18
10/23/2009,0.18
08/28/2009,0.18
05/01/2009,0.18
01/30/2009,0.18
10/24/2008,0.18
08/28/2008,0.18
05/02/2008,0.18
02/01/2008,0.15
10/26/2007,0.3
08/30/2007,0.3
05/04/2007,0.3
02/02/2007,0.225
10/27/2006,0.225
08/31/2006,0.225
05/05/2006,0.15
02/03/2006,0.15
11/04/2005,0.15
08/26/2005,0.3
05/06/2005,0.125
02/04/2005,0.1
11/05/2004,0.1
08/27/2004,0.0825
04/30/2004,0.0825
01/30/2004,0.0825
11/05/2003,0.0825
08/28/2003,0.0825
05/02/2003,0.0825
01/31/2003,0.0825
11/05/2002,0.0825
08/29/2002,0.33
05/03/2002,0.33
02/01/2002,0.33
10/30/2001,0.33
08/24/2001,0.33
05/04/2001,0.33
02/02/2001,0.33
10/31/2000,0.33
08/25/2000,0.33
04/28/2000,0.33
02/04/2000,0.33
11/02/1999,0.33
08/20/1999,0.33
04/30/1999,0.33
02/03/1999,0.33
11/03/1998,0.33
08/14/1998,0.33
05/01/1998,0.33
01/28/1998,0.33
10/28/1997,0.33
08/15/1997,0.33
05/02/1997,0.33
01/29/1997,0.33
10/29/1996,0.33
08/16/1996,0.33
05/01/1996,0.33
01/30/1996,0.33
10/31/1995,0.33
08/18/1995,0.66
05/01/1995,0.6
01/27/1995,0.6
10/28/1994,0.6
08/17/1994,0.6
05/02/1994,0.6
01/28/1994,0.6
10/29/1993,0.6
08/18/1993,0.6
05/03/1993,0.6
02/01/1993,0.6
11/02/1992,0.6
08/19/1992,0.6
05/04/1992,0.6
02/03/1992,0.6
11/04/1991,0.6
08/14/1991,0.6
05/06/1991,0.6
02/04/1991,0.6
11/05/1990,0.6
08/15/1990,0.6
04/30/1990,0.6
02/13/1990,0.6
11/14/1989,0.6
08/17/1989,0.5252
05/18/1989,0.5252
02/15/1989,0.5252
11/15/1988,0.5252
08/18/1988,0.5252
05/19/1988,0.5252
02/18/1988,0.5252
11/06/1987,0.5252
08/20/1987,0.5252
05/20/1987,0.5252
02/19/1987,0.5252
11/12/1986,0.5252
08/21/1986,0.5252
05/15/1986,0.5252
02/20/1986,0.5252
11/13/1985,0.5252
08/15/1985,0.5252
05/16/1985,0.5252
02/20/1985,0.5252
