Date,Amount
06/27/2019,0.568
03/22/2019,0.568
12/31/2018,0.54
09/21/2018,0.54
06/22/2018,0.54
03/23/2018,0.54
12/29/2017,0.504
09/22/2017,0.504
06/22/2017,0.504
03/23/2017,0.504
12/22/2016,0.504
09/22/2016,3.504
06/23/2016,0.504
03/22/2016,0.504
03/01/2016,8.0
12/23/2015,0.553
09/17/2015,0.553
06/24/2015,0.553
03/19/2015,0.552
12/23/2014,0.5
09/18/2014,0.5
06/19/2014,0.5
06/11/2014,0.0
06/05/2014,0.0
05/20/2014,0.0
05/16/2014,0.0
04/02/2014,0.0
03/20/2014,0.5
12/24/2013,0.65
09/19/2013,0.4
06/20/2013,0.4
03/20/2013,0.4
12/19/2012,0.767
09/19/2012,0.338
06/20/2012,0.338
03/21/2012,0.338
12/15/2011,0.568
09/16/2011,0.338
06/16/2011,0.338
03/17/2011,0.338
12/16/2010,0.458
09/16/2010,0.338
06/16/2010,0.338
03/11/2010,0.338
12/17/2009,0.338
09/17/2009,0.338
06/11/2009,0.483
03/12/2009,0.483
12/18/2008,0.483
09/11/2008,0.483
06/12/2008,0.483
03/13/2008,0.483
12/20/2007,0.483
09/13/2007,0.463
06/14/2007,0.463
03/15/2007,0.463
12/20/2006,0.463
09/14/2006,0.443
06/15/2006,0.443
03/16/2006,0.443
12/15/2005,0.443
09/15/2005,0.433
06/15/2005,0.433
03/16/2005,0.433
12/15/2004,0.433
09/15/2004,0.433
06/16/2004,0.433
03/17/2004,0.433
12/17/2003,0.433
09/17/2003,0.433
06/18/2003,0.433
03/18/2003,0.433
12/18/2002,0.433
09/18/2002,0.433
06/18/2002,0.433
03/18/2002,0.433
12/18/2001,0.433
09/18/2001,0.4325
06/18/2001,0.4075
03/16/2001,0.4075
12/15/2000,0.4075
09/18/2000,0.4075
06/16/2000,0.38
03/16/2000,0.38
12/16/1999,0.38
09/16/1999,0.38
06/16/1999,0.355
03/17/1999,0.355
12/16/1998,0.355
09/14/1998,0.335
06/24/1998,0.335
03/25/1998,0.335
12/11/1997,0.219
09/24/1997,0.3125
06/25/1997,0.3125
03/25/1997,0.3125
12/24/1996,0.3125
09/25/1996,0.295
06/26/1996,0.295
03/27/1996,0.295
12/27/1995,0.295
09/27/1995,0.2575
06/28/1995,0.2575
03/27/1995,0.2575
12/23/1994,0.26
09/26/1994,0.245
06/20/1994,0.2475
05/18/1994,0.2475
03/21/1994,0.24
12/02/1993,0.235
09/20/1993,0.105
