Date,Amount
02/24/2022,0.1875
11/24/2021,0.1875
08/26/2021,0.1875
05/27/2021,0.1875
02/25/2021,0.1875
11/25/2020,0.1875
02/27/2020,0.21
11/27/2019,0.21
08/29/2019,0.21
05/30/2019,0.1975
02/28/2019,0.1975
11/29/2018,0.1975
08/30/2018,0.1975
05/31/2018,0.18
03/01/2018,0.18
11/30/2017,0.18
08/30/2017,0.18
05/31/2017,0.17
03/01/2017,0.17
11/30/2016,0.17
08/31/2016,0.17
05/25/2016,0.147
02/24/2016,0.1475
11/24/2015,0.1475
08/26/2015,0.1475
05/27/2015,0.14
02/25/2015,0.14
11/25/2014,0.14
08/27/2014,0.14
05/28/2014,0.14
02/26/2014,0.14
11/26/2013,0.125
08/28/2013,0.125
05/29/2013,0.125
02/27/2013,0.125
11/28/2012,0.09
08/29/2012,0.09
05/30/2012,0.022
02/29/2012,0.022
11/30/2011,0.022
08/31/2011,0.022
05/25/2011,0.022
02/23/2011,0.022
11/23/2010,0.022
08/25/2010,0.022
05/26/2010,0.022
02/24/2010,0.022
11/24/2009,0.022
08/26/2009,0.022
05/27/2009,0.022
02/25/2009,0.088
11/25/2008,0.088
08/27/2008,0.088
05/28/2008,0.088
02/27/2008,0.088
11/28/2007,0.088
08/29/2007,0.088
05/30/2007,0.088
02/28/2007,0.08
11/29/2006,0.08
08/30/2006,0.08
05/31/2006,0.08
03/01/2006,0.08
11/30/2005,0.0725
08/31/2005,0.0725
05/25/2005,0.0725
02/23/2005,0.0725
11/23/2004,0.0725
08/25/2004,0.0725
05/26/2004,0.0725
02/25/2004,0.0363
11/25/2003,0.0363
08/27/2003,0.0363
05/28/2003,0.0363
02/26/2003,0.0363
11/26/2002,0.0363
08/28/2002,0.0363
05/29/2002,0.0363
02/27/2002,0.0363
11/28/2001,0.0363
08/29/2001,0.0363
05/30/2001,0.0363
02/28/2001,0.0363
11/29/2000,0.0363
08/30/2000,0.0363
05/31/2000,0.0363
03/01/2000,0.0363
12/01/1999,0.0363
09/01/1999,0.0363
05/26/1999,0.0363
02/24/1999,0.0363
11/24/1998,0.0363
08/26/1998,0.0363
05/28/1998,0.0363
05/27/1998,0.03625
02/25/1998,0.0363
11/05/1997,0.0363
08/27/1997,0.0363
05/28/1997,0.0363
02/26/1997,0.0325
11/27/1996,0.0325
11/26/1996,0.0325
08/28/1996,0.0325
05/29/1996,0.0325
02/28/1996,0.0325
12/14/1995,0.0325
08/30/1995,0.0325
05/29/1995,0.0325
05/26/1995,0.0325
02/27/1995,0.0325
11/28/1994,0.0325
08/29/1994,0.0325
05/23/1994,0.0325
02/18/1994,0.0325
11/19/1993,0.0325
08/23/1993,0.0325
05/24/1993,0.0325
02/22/1993,0.0325
11/20/1992,0.0325
08/25/1992,0.0325
05/22/1992,0.0325
02/24/1992,0.0325
11/22/1991,0.0325
08/26/1991,0.0325
05/24/1991,0.0325
02/25/1991,0.0325
11/26/1990,0.0325
08/27/1990,0.0325
05/25/1990,0.0325
02/26/1990,0.0325
11/27/1989,0.0325
08/28/1989,0.0325
05/26/1989,0.0325
02/27/1989,0.0325
11/28/1988,0.0325
08/22/1988,0.0325
05/23/1988,0.0275
02/22/1988,0.0275
11/20/1987,0.0275
08/24/1987,0.0275
05/22/1987,0.0275
02/23/1987,0.0275
11/21/1986,0.0275
08/25/1986,0.0275
05/23/1986,0.0275
02/24/1986,0.0275
11/22/1985,0.0275
08/26/1985,0.027487166
05/24/1985,0.025088333
02/22/1985,0.025088333
11/26/1984,0.0183915
