Date,Amount
03/28/2019,0.32
09/27/2018,0.16
03/28/2018,0.16
09/28/2017,0.04
03/29/2017,0.04
09/28/2016,0.04
03/29/2016,0.04
09/28/2015,0.04
03/27/2015,0.04
09/26/2014,0.04
03/27/2014,0.04
09/26/2013,0.04
03/26/2013,0.04
09/26/2012,0.04
03/28/2012,0.04
09/28/2011,0.04
03/29/2011,0.04
09/28/2010,0.04
03/29/2010,0.04
09/28/2009,0.04
03/27/2009,0.04
09/26/2008,0.16
03/27/2008,0.14
09/26/2007,0.14
03/28/2007,0.13
09/26/2006,0.13
03/27/2006,0.12
09/28/2005,0.12
03/29/2005,0.1
09/27/2004,0.1
03/25/2004,0.1
08/13/1998,0.05
02/12/1998,0.05
09/12/1997,0.05
