Date,Amount
09/28/2023,0.48
06/29/2023,0.48
03/30/2023,0.48
12/29/2022,0.48
09/29/2022,0.48
06/29/2022,0.48
03/30/2022,0.48
12/30/2021,0.48
09/29/2021,0.48
06/29/2021,0.48
03/30/2021,0.48
12/30/2020,0.48
09/29/2020,0.48
06/29/2020,0.48
03/30/2020,0.48
12/30/2019,0.48
09/27/2019,0.48
06/27/2019,0.48
03/28/2019,0.48
12/28/2018,0.48
09/27/2018,0.48
06/28/2018,0.48
03/28/2018,0.48
12/28/2017,0.48
09/28/2017,0.48
06/28/2017,0.48
03/29/2017,0.48
12/28/2016,0.48
09/28/2016,0.48
06/28/2016,0.48
03/29/2016,0.48
12/29/2015,0.48
09/28/2015,0.48
06/26/2015,0.48
03/27/2015,0.48
12/29/2014,0.48
09/26/2014,0.48
06/26/2014,0.48
03/27/2014,0.48
12/27/2013,0.370908
09/26/2013,0.370908
06/26/2013,0.370908
03/26/2013,0.354781
12/27/2012,0.435414
09/26/2012,0.354781
06/27/2012,0.354781
03/28/2012,0.354781
12/28/2011,0.354781
09/28/2011,0.354781
06/28/2011,0.354781
03/29/2011,0.338655
12/29/2010,0.322529
09/28/2010,0.266086
06/28/2010,0.20158
03/29/2010,0.177391
12/28/2009,0.080632
10/28/2009,0.008063
