Date,Amount
06/06/2019,0.38
03/07/2019,0.38
12/13/2018,0.34
09/06/2018,0.34
06/07/2018,0.34
03/08/2018,0.34
12/07/2017,0.3
09/07/2017,0.3
06/07/2017,0.3
03/08/2017,0.3
12/07/2016,0.2
09/07/2016,0.2
06/16/2016,0.64
03/10/2016,0.64
12/09/2015,0.64
09/22/2015,0.64
06/10/2015,0.59
03/11/2015,0.58
12/10/2014,0.57
09/10/2014,0.56
06/11/2014,0.425
03/12/2014,0.4025
12/11/2013,0.38
09/11/2013,0.36625
06/05/2013,0.3525
03/06/2013,0.33875
12/05/2012,0.325
08/22/2012,0.3125
06/06/2012,0.3
03/07/2012,0.25875
12/07/2011,0.25
08/24/2011,0.2
06/08/2011,0.2
03/09/2011,0.125
12/08/2010,0.125
08/25/2010,0.125
06/09/2010,0.125
03/10/2010,0.11
12/09/2009,0.11
08/26/2009,0.11
06/10/2009,0.11
03/11/2009,0.11
12/10/2008,0.11
08/20/2008,0.11
06/11/2008,0.11
03/12/2008,0.1
12/12/2007,0.1
08/22/2007,0.1
05/23/2007,0.1
03/07/2007,0.09
12/06/2006,0.09
08/23/2006,0.09
06/07/2006,0.09
03/08/2006,0.075
12/07/2005,0.075
08/24/2005,0.075
06/08/2005,0.05
03/09/2005,0.05
12/08/2004,0.05
08/25/2004,0.01
06/09/2004,0.01
03/10/2004,0.01
12/10/2003,0.01
08/20/2003,0.01
06/11/2003,0.01
03/12/2003,0.01
12/11/2002,0.01
08/21/2002,0.01
06/05/2002,0.2
04/29/2002,0.16304
03/13/2002,0.2
12/12/2001,0.2
08/22/2001,0.18
06/06/2001,0.15
03/07/2001,0.15
12/06/2000,0.15
08/23/2000,0.15
06/07/2000,0.15
03/08/2000,0.15
12/08/1999,0.15
08/25/1999,0.15
06/09/1999,0.15
03/10/1999,0.15
12/09/1998,0.15
08/26/1998,0.15
06/03/1998,0.15
03/12/1998,0.15
12/03/1997,0.3
08/20/1997,0.26
05/28/1997,0.26
03/05/1997,0.26
12/04/1996,0.39
08/21/1996,0.3402
05/29/1996,0.3402
02/28/1996,0.3402
11/29/1995,0.27
11/22/1995,0.27
08/25/1995,0.27
08/23/1995,0.27
05/29/1995,0.27
05/26/1995,0.27
02/27/1995,0.27
11/28/1994,0.21
08/22/1994,0.2103
05/27/1994,0.2103
02/28/1994,0.2103
11/29/1993,0.2103
08/23/1993,0.3804
05/24/1993,0.3804
03/08/1993,0.3804
11/30/1992,0.3804
08/24/1992,0.3804
05/22/1992,0.3804
03/09/1992,0.3804
11/22/1991,0.3504
08/19/1991,0.3504
05/24/1991,0.3504
02/25/1991,0.3504
11/26/1990,0.3504
08/20/1990,0.3504
05/25/1990,0.3504
02/26/1990,0.3504
11/27/1989,0.3504
08/21/1989,0.3504
05/26/1989,0.3504
02/27/1989,0.3504
11/28/1988,0.3504
08/22/1988,0.3504
05/27/1988,0.3504
02/29/1988,0.3504
11/30/1987,0.3504
08/24/1987,0.3504
05/26/1987,0.3504
03/03/1987,0.3504
12/01/1986,0.3504
08/25/1986,0.3504
05/23/1986,0.3504
03/04/1986,0.3504
12/02/1985,0.3504
08/26/1985,0.3504
05/28/1985,0.3504
03/04/1985,0.3504
12/03/1984,0.04365
08/27/1984,0.03742
05/29/1984,0.03742
02/29/1984,0.03742
11/28/1983,0.03742
08/29/1983,0.03742
05/27/1983,0.03742
03/01/1983,0.03742
11/29/1982,0.03742
08/30/1982,0.03742
05/28/1982,0.03742
03/01/1982,0.03742
