CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,
Non-GAAP diluted ,,1/30/2027,,2.7,11/13/2025,2.69,10/1/2025,2.73,8/29/2025,2.75,7/9/2025,2.76,6/1/2025
,,10/30/2026,,1.41,,1.41,,1.42,,1.44,,1.43,
,,7/30/2026,,1.43,,1.42,,1.34,,1.32,,1.33,
,,4/30/2026,,1.25,,1.24,,1.26,,1.26,,1.25,
,,1/30/2026,,2.53,12/30/2024,2.53,12/30/2024,2.54,12/30/2024,2.55,12/30/2024,2.55,12/30/2024
,,10/30/2025,,1.31,,1.3,,1.28,,1.28,,1.28,
,8/28/2025,7/30/2025,0.87,1.28,,1.21,,1.21,,1.31,,,
,5/29/2025,4/30/2025,0.95,1.15,,1.08,,1.09,,1.25,,,
,3/4/2025,1/30/2025,0.54,2.58,5/17/2024,2.39,5/17/2024,2.4,5/17/2024,2.45,5/17/2024,,
,11/26/2024,10/30/2024,1.26,1.26,,1.29,,1.35,,1.28,,,
,8/29/2024,7/30/2024,1.34,1.34,,1.16,,1.16,,1.2,,,
,5/30/2024,4/30/2024,1.13,1.2,,1.08,,1.08,,1.07,,,
,2/29/2024,1/30/2024,2.12,2.72,4/13/2023,2.51,4/13/2023,2.52,4/13/2023,2.68,4/13/2023,,
,11/21/2023,10/30/2023,1.21,1.29,,1.2,,1.19,,1.24,,,
,8/29/2023,7/30/2023,1.25,1.22,,1.06,,1.06,,1.08,,,
,5/25/2023,4/30/2023,1.11,1.15,,1.15,,1.18,,1.46,,,
,3/2/2023,1/30/2023,2.23,2.61,,2.1,,2.1,,2.09,,,
,11/22/2022,10/30/2022,1.22,1.38,,1.03,,1.03,,1.04,,,
,8/30/2022,7/30/2022,1.35,1.54,,1.34,,1.82,,1.86,,,
,5/24/2022,4/30/2022,1.49,1.57,,1.64,,1.61,,1.64,,,
,3/3/2022,1/29/2022,2.62,2.73,,2.79,,2.81,,2.9,,,
,11/23/2021,10/30/2021,2,2.08,,1.89,,1.83,,1.82,,,
