CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
N,,12/31/2026,,5.6,11/5/2025,5.75,9/28/2025,5.75,8/25/2025,5.72,6/27/2025,5.72,5/21/2025
,,9/30/2026,,5.64,,5.68,,5.68,,55.9,,5.58,
,,6/30/2026,,5.34,,5.3,,5.3,,5.17,,5.34,
,,3/30/2026,,5.51,,5.28,,5.28,,5.17,,5.21,
,,12/31/2025,,5.39,2/3/2025,5.45,2/3/2025,5.45,2/3/2025,5.01,2/3/2025,5.45,2/3/2025
,11/3/2025,9/30/2025,14.28,6.25,,5.57,,5.41,,5.31,,5.5,
,8/2/2025,6/30/2025,5.73,5.17,,5.01,,5.28,,5.28,,,
,5/5/2025,3/30/2025,2.13,4.47,,4.6,,4.6,,4.73,,,
,2/22/2025,12/31/2024,9.13,6.73,4/7/2024,4.22,4/7/2024,4.22,4/7/2024,5.45,4/7/2024,,
,11/4/2024,9/30/2024,12.18,4.68,,4.99,,4.81,,4.99,,,
,8/5/2024,6/30/2024,14.08,5.38,,4.57,,4.57,,4.64,,,
,5/4/2024,3/30/2024,5.88,5.2,,4.45,,4.48,,4.48,,,
,2/24/2024,12/31/2023,17.36,3.92,3/16/2023,3.97,3/16/2023,4.25,3/16/2023,4.25,3/16/2023,,
,11/4/2023,9/30/2023,-5.88,4.96,,4.38,,4.85,,3.98,,,
,8/5/2023,6/30/2023,16.52,4.62,,3.94,,4.12,,4.09,,,
,5/6/2023,3/30/2023,16.25,3.69,,3.56,,3.58,,3.58,,,
,2/25/2023,12/31/2022,8.27,3.06,,3.68,,3.68,,3.56,,,
,11/5/2022,9/30/2022,-1.27,3.53,,2.86,,3.42,,3.42,,,
,8/8/2022,6/30/2022,-19.78,3.33,,3.33,,3.27,,3.48,,,
,4/30/2022,3/31/2022,2.52,3.18,,2.86,,2.9,,3.03,,,
,2/28/2022,12/31/2021,17.79,3.27,,2.93,,2.93,,2.93,,,
,11/7/2021,9/30/2021,4.59,2.87,,3.04,,3.13,,2.99,,,
,8/7/2021,6/30/2021,12.33,2.93,,2.54,,2.54,,2.61,,,
,5/1/2021,3/31/2021,5.09,3.05,,2.54,,2.59,,2.58,,,
,2/27/2021,12/31/2020,15.34,2.15,,2.29,,2.29,,2.28,,,
,11/7/2020,9/30/2020,12.66,2.3,,2.45,,2.44,,2.44,,,
,8/8/2020,6/30/2020,10.87630773,2.28,,2.24,,2.45,,2.78,,,
,5/2/2020,3/31/2020,-20.43516335,2.41,,2.51,,2.47,,2.46,,,
,2/22/2020,12/31/2019,11.93960789,1.81,,2.34,,2.38,,2.35,,,
,11/3/2019,9/30/2019,6.745859811,3.07,,2.84,,,,,,,
,8/3/2019,6/28/2019,5.73836107,2.5,,2.58,,,,,,,
,5/4/2019,3/29/2019,8.80624434,2.26,,2.29,,,,,,,
,2/23/2019,12/31/2018,-10.31159111,2.32,,1.85,,,,,,,
,11/3/2018,9/28/2018,7.520280231,2.79,,2.49,,,,,,,
,8/4/2018,6/29/2018,4.86751048,2.79,,2.24,,,,,,,
,5/5/2018,3/29/2018,-0.461207338,2.14,,2.07,,,,,,,
,2/24/2018,12/29/2017,13.1935281,,,1.76,,,,,,,
,11/3/2017,9/29/2017,1.685274344,,,1.58,,,,,,,
,8/4/2017,6/30/2017,1.727695364,,,1.88,,,,,,,
,5/5/2017,3/31/2017,1.645965783,,,1.76,,,,,,,
,,12/30/2016,2.548823906,,,1.83,,,,,,,
,,9/30/2016,2.919051475,,,1.99,,,,,,,
,,6/30/2016,2.028295143,,,1.86,,,,,,,
,,3/31/2016,2.267130802,,,1.81,,,,,,,
,,12/31/2015,2.222231688,,,nan,,,,,,,
,,9/30/2015,3.824786793,,,nan,,,,,,,
,,6/30/2015,1.628241902,,,nan,,,,,,,
,,3/31/2015,2.09541652,,,nan,,,,,,,
,,12/31/2014,1.685472565,,,nan,,,,,,,
,,9/30/2014,1.873906431,,,nan,,,,,,,
,,6/30/2014,2.592684939,,,nan,,,,,,,
,,3/31/2014,1.907879624,,,nan,,,,,,,
,,12/31/2013,2.02366389,,,nan,,,,,,,
,,9/30/2013,2.049342805,,,nan,,,,,,,
,,6/28/2013,1.841892903,,,nan,,,,,,,
,,3/28/2013,1.984768162,,,nan,,,,,,,
,,12/31/2012,1.837346953,,,nan,,,,,,,
,,9/28/2012,1.581744729,,,nan,,,,,,,
,,6/29/2012,1.254608658,,,nan,,,,,,,
,,3/30/2012,1.310361426,,,nan,,,,,,,
,,12/30/2011,1.231596512,,,nan,,,,,,,
,,9/30/2011,0.919685014,,,nan,,,,,,,
,,6/30/2011,1.381399738,,,nan,,,,,,,
,,3/31/2011,0.611093552,,,nan,,,,,,,
,,12/31/2010,1.783988247,,,nan,,,,,,,
,,9/30/2010,1.209441086,,,nan,,,,,,,
,,6/30/2010,0.796515246,,,nan,,,,,,,
,,3/31/2010,1.514538507,,,nan,,,,,,,
,,12/31/2009,1.312666667,,,nan,,,,,,,
,,9/30/2009,1.391333333,,,nan,,,,,,,
,,6/30/2009,1.415333333,,,nan,,,,,,,
,,3/31/2009,-0.66,,,nan,,,,,,,
,,12/31/2008,0.050666667,,,nan,,,,,,,
,,9/30/2008,0.454666667,,,nan,,,,,,,
,,6/30/2008,1.239333333,,,nan,,,,,,,
,,3/31/2008,0.404666667,,,nan,,,,,,,
,,12/31/2007,1.269333333,,,nan,,,,,,,
,,9/28/2007,1.961333333,,,nan,,,,,,,
,,6/29/2007,1.345333333,,,nan,,,,,,,
,,3/30/2007,1.121333333,,,nan,,,,,,,
,,12/29/2006,1.548666667,,,nan,,,,,,,
,,9/29/2006,1.198,,,nan,,,,,,,
,,6/30/2006,1.01,,,nan,,,,,,,
,,3/31/2006,1,,,nan,,,,,,,
,,12/30/2005,2.22,,,nan,,,,,,,
,,9/30/2005,0.25,,,nan,,,,,,,
,,6/30/2005,0.63,,,nan,,,,,,,
,,3/31/2005,0.59,,,nan,,,,,,,
,,12/31/2004,1.45,,,nan,,,,,,,
,,9/30/2004,0.49,,,nan,,,,,,,
,,6/30/2004,0.56,,,nan,,,,,,,
,,3/31/2004,0.67,,,nan,,,,,,,
,,12/31/2003,1.04,,,nan,,,,,,,
,,9/30/2003,0.78,,,nan,,,,,,,
,,6/30/2003,0.97,,,nan,,,,,,,
,,3/31/2003,0.75,,,nan,,,,,,,
