CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,
Adjusted,,12/31/2026,,2.94,1/18/2026,2.79,12/15/2025,2.66,11/4/2025,2.5,9/14/2025,2.51,8/5/2025,2.51,6/20/2025,2.49,5/5/2025,2.45,3/26/2025
,,9/30/2026,,2.85,,2.86,,2.73,,2.51,,2.5,,2.49,,2.45,,2.43,
,,6/30/2026,,2.72,,2.7,,2.64,,2.56,,2.56,,2.5,,2.42,,2.37,
,,3/30/2026,,2.74,,2.71,,2.64,,2.55,,2.56,,2.5,,2.49,,2.35,
,,12/31/2025,,2.89,12/16/2024,2.73,12/16/2024,2.58,12/16/2024,2.39,12/16/2024,2.35,12/16/2024,2.33,12/16/2024,2.33,12/16/2024,2.31,12/16/2024
,10/31/2025,9/30/2025,2.85,2.67,,2.41,,2.35,,2.31,,2.3,,2.28,,,,,
,8/1/2025,6/30/2025,2.23,2.46,,2.42,,2.38,,2.23,,,,,,,,,
,5/2/2025,3/30/2025,2.37,2.5,,2.2,,2.19,,2.22,,,,,,,,,
,2/7/2025,12/31/2024,1.86,2.1,3/30/2024,2.13,3/30/2024,2.15,3/30/2024,2.2,3/30/2024,,,,,,,,
,11/1/2024,9/30/2024,2.07,2.22,,2.17,,2.1,,2.13,,,,,,,,,
,8/2/2024,6/30/2024,1.33,2.15,,2.1,,2.11,,2.07,,,,,,,,,
,5/3/2024,3/30/2024,1.96,2.15,,2.04,,2.05,,2,,,,,,,,,
,2/2/2024,12/31/2023,1.98,2.06,4/24/2023,1.99,4/24/2023,1.91,4/24/2023,1.81,4/24/2023,,,,,,,,
,11/3/2023,9/30/2023,1.95,2.06,,1.8,,1.77,,1.75,,,,,,,,,
,8/4/2023,6/30/2023,1.57,1.78,,1.76,,1.79,,1.79,,,,,,,,,
,5/5/2023,3/30/2023,1.63,1.9,,1.87,,1.78,,1.8,,,,,,,,,
