CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2025,,0.35,12/13/2024,0.35,11/1/2024,0.36,9/22/2024,0.41,8/4/2024,0.54,6/21/2024,0.56,5/4/2024,0.35,4/9/2024,0.38,2/25/2024,0.38,1/30/2024,0.38,12/28/2023,0.45,11/3/2023,0.72,9/22/2023,0.73,8/5/2023,0.86,6/17/2023,0.88,5/7/2023,,4/7/2023,0.63,2/25/2023,0.65,1/18/2023,0.65,12/11/2022,0.68,11/4/2022,0.81,10/20/2022,0.81,9/16/2022,0.83,8/13/2022,0.93,7/15/2022,0.93,6/15/2022,0.93,5/12/2022,0.93,5/5/2022,,3/28/2022,0.7,2/27/2022,0.69,1/19/2022,0.69,12/12/2021,0.66,11/6/2021,0.67,10/14/2021,0.67,9/11/2021,0.61,8/7/2021,0.61,7/10/2021,0.61,6/9/2021,0.57,5/9/2021,0.57,3/27/2021,0.45,2/28/2021,0.44,1/17/2021,0.45,12/18/2020,0.45,11/19/2020,0.45,11/18/2020
,,9/30/2025,,0.58,,0.58,,0.59,,0.63,,0.78,,0.79,,0.55,,0.58,,0.66,,0.66,,0.67,,0.77,,0.8,,0.88,,0.87,,,,0.71,,0.76,,0.78,,0.78,,0.82,,0.82,,0.85,,0.94,,0.95,,0.95,,0.95,,,,0.75,,0.75,,0.76,,0.7,,0.7,,0.7,,0.72,,0.7,,0.7,,0.72,,0.72,,0.56,,0.56,,0.55,,0.55,,0.55,
,,6/30/2025,,0.61,,0.6,,0.63,,0.64,,0.74,,0.73,,0.56,,0.57,,0.62,,0.61,,0.64,,0.79,,0.82,,0.82,,0.81,,,,0.76,,0.84,,0.86,,0.86,,0.93,,0.93,,0.94,,0.98,,0.99,,0.99,,0.99,,,,0.76,,0.76,,0.75,,0.82,,0.84,,0.84,,0.76,,0.72,,0.72,,0.59,,0.59,,0.43,,0.42,,0.42,,0.42,,0.42,
,,3/30/2025,,0.49,,0.49,,0.52,,0.52,,0.59,,0.59,,0.44,,0.45,,0.51,,0.52,,0.55,,0.75,,0.77,,0.8,,0.81,,,,0.69,,0.74,,0.75,,0.75,,0.84,,0.84,,0.84,,0.87,,0.88,,0.89,,0.89,,,,0.65,,0.65,,0.65,,0.74,,0.75,,0.75,,0.75,,0.76,,0.76,,0.64,,0.64,,0.43,,0.43,,0.43,,0.43,,0.43,
,,12/31/2024,,0.25,4/9/2024,0.25,4/9/2024,0.25,4/9/2024,0.27,4/9/2024,0.33,4/9/2024,0.34,4/9/2024,0.35,4/9/2024,0.38,2/25/2024,0.38,1/30/2024,0.38,12/28/2023,0.45,11/3/2023,0.72,9/22/2023,0.73,8/5/2023,0.86,6/17/2023,0.88,5/7/2023,,4/7/2023,0.63,2/25/2023,0.65,1/18/2023,0.65,12/11/2022,0.68,11/4/2022,0.81,10/20/2022,0.81,9/16/2022,0.83,8/13/2022,0.93,7/15/2022,0.93,6/15/2022,0.93,5/12/2022,0.93,5/5/2022,,3/28/2022,0.7,2/27/2022,0.69,1/19/2022,0.69,12/12/2021,0.66,11/6/2021,0.67,10/14/2021,0.67,9/11/2021,0.61,8/7/2021,0.61,7/10/2021,0.61,6/9/2021,0.57,5/9/2021,0.57,3/27/2021,0.45,2/28/2021,0.44,1/17/2021,0.45,12/18/2020,0.45,11/19/2020,0.45,11/18/2020
,10/30/2024,9/30/2024,0.48,0.48,,0.44,,0.45,,0.53,,0.53,,0.55,,0.58,,0.66,,0.66,,0.67,,0.77,,0.8,,0.88,,0.87,,,,0.71,,0.76,,0.78,,0.78,,0.82,,0.82,,0.85,,0.94,,0.95,,0.95,,0.95,,,,0.75,,0.75,,0.76,,0.7,,0.7,,0.7,,0.72,,0.7,,0.7,,0.72,,0.72,,0.56,,0.56,,0.55,,0.55,,0.55,,,
,8/1/2024,6/30/2024,0.52,0.52,,0.52,,0.53,,0.56,,0.57,,0.62,,0.61,,0.64,,0.79,,0.82,,0.82,,0.81,,,,0.76,,0.84,,0.86,,0.86,,0.93,,0.93,,0.94,,0.98,,0.99,,0.99,,0.99,,,,0.76,,0.76,,0.75,,0.82,,0.84,,0.84,,0.76,,0.72,,0.72,,0.59,,0.59,,0.43,,0.42,,0.42,,0.42,,0.42,,,,,,,
,5/2/2024,3/30/2024,0.46,0.46,,0.44,,0.45,,0.51,,0.52,,0.55,,0.75,,0.77,,0.8,,0.81,,,,0.69,,0.74,,0.75,,0.75,,0.84,,0.84,,0.84,,0.87,,0.88,,0.89,,0.89,,,,0.65,,0.65,,0.65,,0.74,,0.75,,0.75,,0.75,,0.76,,0.76,,0.64,,0.64,,0.43,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,
,2/22/2024,12/31/2023,0.34,0.34,4/7/2023,0.27,4/7/2023,0.26,4/7/2023,0.34,4/7/2023,0.52,4/7/2023,0.54,4/7/2023,0.65,4/7/2023,0.63,4/7/2023,0.62,4/7/2023,0.63,2/25/2023,0.65,1/18/2023,0.65,12/11/2022,0.68,11/4/2022,0.81,10/20/2022,0.81,9/16/2022,0.83,8/13/2022,0.93,7/15/2022,0.93,6/15/2022,0.93,5/12/2022,0.93,5/5/2022,,3/28/2022,0.7,2/27/2022,0.69,1/19/2022,0.69,12/12/2021,0.66,11/6/2021,0.67,10/14/2021,0.67,9/11/2021,0.61,8/7/2021,0.61,7/10/2021,0.61,6/9/2021,0.57,5/9/2021,0.57,3/27/2021,0.45,2/28/2021,0.44,1/17/2021,0.45,12/18/2020,0.45,11/19/2020,0.45,11/18/2020,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.61,0.61,,0.57,,0.61,,0.67,,0.67,,0.68,,0.71,,0.76,,0.78,,0.78,,0.82,,0.82,,0.85,,0.94,,0.95,,0.95,,0.95,,,,0.75,,0.75,,0.76,,0.7,,0.7,,0.7,,0.72,,0.7,,0.7,,0.72,,0.72,,0.56,,0.56,,0.55,,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,
,8/5/2023,6/30/2023,0.66,0.66,,0.65,,0.68,,0.73,,0.76,,0.84,,0.86,,0.86,,0.93,,0.93,,0.94,,0.98,,0.99,,0.99,,0.99,,,,0.76,,0.76,,0.75,,0.82,,0.84,,0.84,,0.76,,0.72,,0.72,,0.59,,0.59,,0.43,,0.42,,0.42,,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.66,0.67,,0.67,,0.69,,0.74,,0.75,,0.75,,0.84,,0.84,,0.84,,0.87,,0.88,,0.89,,0.89,,,,0.65,,0.65,,0.65,,0.74,,0.75,,0.75,,0.75,,0.76,,0.76,,0.64,,0.64,,0.43,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,0.64,0.64,,0.58,,0.58,,0.59,,0.65,,0.65,,0.65,,0.74,,0.74,,0.74,,0.75,,0.76,,0.7,2/27/2022,0.69,1/19/2022,0.69,12/12/2021,0.66,11/6/2021,0.67,10/14/2021,0.67,9/11/2021,0.61,8/7/2021,0.61,7/10/2021,0.61,6/9/2021,0.57,5/9/2021,0.57,3/27/2021,0.45,2/28/2021,0.44,1/17/2021,0.45,12/18/2020,0.45,11/19/2020,0.45,11/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.71,0.7,,0.65,,0.65,,0.65,,0.72,,0.73,,0.73,,0.74,,0.74,,0.75,,0.75,,0.76,,0.7,,0.7,,0.7,,0.72,,0.7,,0.7,,0.72,,0.72,,0.56,,0.56,,0.55,,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.76,0.76,,0.73,,0.73,,0.74,,0.75,,0.76,,0.76,,0.76,,0.75,,0.82,,0.84,,0.84,,0.76,,0.72,,0.72,,0.59,,0.59,,0.43,,0.42,,0.42,,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,0.66,0.67,,0.65,,0.66,,0.65,,0.65,,0.65,,0.74,,0.75,,0.75,,0.75,,0.76,,0.76,,0.64,,0.64,,0.43,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.46,0.44,,0.45,,0.44,,0.49,,0.49,,0.49,,0.46,,0.45,,0.45,,0.42,,0.42,3/27/2021,0.45,2/28/2021,0.44,1/17/2021,0.45,12/18/2020,0.45,11/19/2020,0.45,11/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.69,0.6,,0.56,,0.56,,0.57,,0.56,,0.56,,0.53,,0.53,,0.56,,0.56,,0.55,,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.77,0.73,,0.62,,0.61,,0.47,,0.46,,0.43,,0.42,,0.42,,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.71,0.68,,0.52,,0.43,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.54,0.47,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
