CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2026,,0.03,4/1/2025,0.03,2/21/2025,-0.01,2/3/2025,,,,,,,,,,,,,,,
,,9/30/2026,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,
,,6/30/2026,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,
,,3/30/2026,,0.02,,0.02,,0.01,,,,,,,,,,,,,,,,
,,12/31/2025,,0.01,2/4/2025,0.01,2/4/2025,-0.01,2/3/2025,,,,,,,,,,,,,,,
,,9/30/2025,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,
,,6/30/2025,,0.01,,0.02,,0.02,,,,,,,,,,,,,,,,
,,3/30/2025,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,
,2/19/2025,12/31/2024,0.01,0.01,,-0.01,,,,,,,,,,,,,,,,,,
,11/11/2024,9/30/2024,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,
,8/15/2024,6/30/2024,-0.01,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
,5/15/2024,3/30/2024,-0.03,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,2/22/2024,12/31/2023,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,
,11/9/2023,9/30/2023,-0.02,-0.02,,-0.02,,,,,,,,,,,,,,,,,,
,8/23/2023,6/30/2023,-0.03,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,5/18/2023,3/30/2023,-0.06,-0.06,,-0.06,,,,,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,-0.1,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,11/16/2022,9/30/2022,-0.08,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,8/25/2022,6/30/2022,-0.15,-0.15,,-0.15,,,,,,,,,,,,,,,,,,
,5/19/2022,3/31/2022,-0.11,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
,,12/31/2021,-0.74,-0.74,,-0.74,,,,,,,,,,,,,,,,,,
,,9/30/2021,-3.66,-3.66,,-3.66,,,,,,,,,,,,,,,,,,
,,6/30/2021,-2.89,-2.89,,-2.89,,,,,,,,,,,,,,,,,,
,,3/31/2021,-3.18,-3.18,,-3.18,,,,,,,,,,,,,,,,,,
