CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2024,,0.99,8/21/2023,0.99,7/21/2023,1.24,7/7/2023,1.24,6/1/2023,1.24,4/21/2023,1.26,4/7/2023,1.26,2/24/2023,1.26,1/21/2023,,12/20/2022,1,11/15/2022,1.01,10/20/2022,1.13,9/29/2022,1.13,8/27/2022,0.89,7/25/2022,1.27,6/26/2022,1.27,5/23/2022,0.92,4/23/2022,0.92,4/3/2022,0.92,2/28/2022,0.92,1/21/2022,0.92,12/28/2021,0.98,11/23/2021,0.95,10/22/2021,0.65,9/24/2021,0.65,8/26/2021,0.73,7/24/2021,0.73,6/22/2021,0.73,5/23/2021,0.46,4/22/2021,0.46,3/19/2021,0.46,2/21/2021,0.37,1/21/2021,0.37,12/26/2020
,,6/30/2024,,0.9,,0.9,,1.09,,1.09,,1.09,,1.1,,1.1,,1.1,,,,0.98,,0.98,,1.07,,1.07,,0.77,,1.06,,1.06,,0.75,,0.75,,0.75,,0.75,,0.75,,0.97,,0.9,,0.65,,0.65,,0.65,,0.65,,0.65,,0.47,,0.47,,0.47,,0.45,,0.45,
,,3/30/2024,,0.75,,0.75,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,,,0.87,,0.97,,1,,1,,0.83,,0.9,,0.9,,0.64,,0.64,,0.64,,0.64,,0.64,,0.67,,0.72,,0.5,,0.5,,0.47,,0.47,,0.47,,0.39,,0.39,,0.39,,0.31,,0.31,
,,12/30/2023,,0.52,,0.52,,0.55,,0.55,,0.55,,0.52,,0.52,,0.52,,,,0.85,,0.98,,1.06,,1.06,,1.02,,1.19,,1.19,,0.65,,0.66,,0.65,,0.65,,0.65,,0.92,,0.89,,0.58,,0.58,,0.51,,0.51,,0.51,,0.36,,0.36,,0.36,,0.23,,0.23,
,,9/30/2023,,0.66,,1,,0.99,,0.99,,0.93,,0.94,,0.94,,0.99,,1,,1,,1.01,10/20/2022,1.13,9/29/2022,1.13,8/27/2022,0.89,7/25/2022,1.27,6/26/2022,1.27,5/23/2022,0.92,4/23/2022,0.92,4/3/2022,0.92,2/28/2022,0.92,1/21/2022,0.92,12/28/2021,0.98,11/23/2021,0.95,10/22/2021,0.65,9/24/2021,0.65,8/26/2021,0.73,7/24/2021,0.73,6/22/2021,0.73,5/23/2021,0.46,4/22/2021,0.46,3/19/2021,0.46,2/21/2021,0.37,1/21/2021,0.37,12/26/2020
,7/20/2023,6/30/2023,0.54,0.54,,0.67,,0.67,,0.81,,0.85,,0.85,,0.93,,0.98,,0.98,,0.98,,1.07,,1.07,,0.77,,1.06,,1.06,,0.75,,0.75,,0.75,,0.75,,0.75,,0.97,,0.9,,0.65,,0.65,,0.65,,0.65,,0.65,,0.47,,0.47,,0.47,,0.45,,0.45,,,
,4/20/2023,3/30/2023,0.26,0.26,,0.46,,0.46,,0.68,,0.87,,0.87,,0.97,,1,,1,,0.83,,0.9,,0.9,,0.64,,0.64,,0.64,,0.64,,0.64,,0.67,,0.72,,0.5,,0.5,,0.47,,0.47,,0.47,,0.39,,0.39,,0.39,,0.31,,0.31,,,,,,,,,
,1/19/2023,12/30/2022,0.57,0.57,,0.85,,0.85,,0.98,,1.06,,1.06,,1.02,,1.19,,1.19,,0.65,,0.66,,0.65,,0.65,,0.65,,0.92,,0.89,,0.58,,0.58,,0.51,,0.51,,0.51,,0.36,,0.36,,0.36,,0.23,,0.23,,,,,,,,,,,,,,,
,10/20/2022,9/30/2022,1.24,1.24,,1.82,,1.82,,1.98,,2.02,,2.02,,1.25,,1.13,,1.13,,1.13,,0.98,,0.98,,0.95,10/22/2021,0.65,9/24/2021,0.65,8/26/2021,0.73,7/24/2021,0.73,6/22/2021,0.73,5/23/2021,0.46,4/22/2021,0.46,3/19/2021,0.46,2/21/2021,0.37,1/21/2021,0.37,12/26/2020,,,,,,,,,,,,,,,,,,,,
,7/21/2022,6/30/2022,1.96,1.96,,2.09,,2.09,,1.3,,1.17,,1.17,,1.17,,0.97,,0.97,,0.9,,0.65,,0.65,,0.65,,0.65,,0.65,,0.47,,0.47,,0.47,,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/21/2022,3/31/2022,1.99,1.99,,0.94,,0.94,,0.94,,0.67,,0.67,,0.72,,0.5,,0.5,,0.47,,0.47,,0.47,,0.39,,0.39,,0.39,,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20/2022,12/31/2021,1.18,1.18,,0.92,,0.92,,0.89,,0.58,,0.58,,0.51,,0.51,,0.51,,0.36,,0.36,,0.36,,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/21/2021,9/30/2021,1.28,1.28,,0.94,,0.94,,0.69,,0.69,,0.63,,0.52,,0.52,,0.52,,0.39,,0.39,,0.39,11/25/2020,0.29,10/22/2020,0.29,9/19/2020,0.29,8/12/2020,0.29,7/19/2020,0.29,7/18/2020,0.35,,0.34,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/22/2021,6/30/2021,0.94,1,,0.76,,0.66,,0.54,,0.54,,0.54,,0.41,,0.41,,0.41,,0.39,,0.39,,0.39,,0.39,,0.39,,0.38,,0.37,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/22/2021,3/31/2021,0.76,0.79,,0.48,,0.48,,0.29,,0.29,,0.29,,0.24,,0.24,,0.24,,0.24,,0.24,,0.22,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21/2021,12/31/2020,0.42,0.45,,0.3,,0.3,,0.11,,0.11,,0.11,,0.11,,0.11,,0.06,,0.04,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/22/2020,9/30/2020,0.38,0.41,,0.24,,0.24,,0.21,,0.21,,0.17,,0.27,,0.48,,0.5,,0.41,,0.625461538,,0.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/16/2020,6/26/2020,0.343912886,0.38,,0.18,,0.19,,0.26,,0.29,,0.49,,0.47,,0.49,,0.692,,0.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/16/2020,3/27/2020,0.225110905,0.24,,0.1,,-0.03,,0.33,,0.32,,0.39,,0.239538462,,0.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/16/2010,12/27/2019,0.028652555,0.03,,-0.11,,0.25,,0.29,,0.3,,0.186307692,,0.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/17/2019,9/27/2019,-0.091763606,-0.08,,0.19,,0.26,,0.39,,0.46,,0.45,,0.47,,0.49,,0.58,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/18/2019,6/28/2019,0.113271956,0.11,,0.3,,0.33,,0.49,,0.52,,0.57,,0.66,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/18/2019,3/29/2019,0.054239917,0.01,,0.18,,0.2,,0.18,,0.26,,0.54,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17/2019,12/28/2018,0.213384361,0.19,,0.14,,0.2,,0.41,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/18/2018,9/28/2018,0.486126182,0.49,,0.56,,0.47,,0.59,,0.83,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
