CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Adjusted Diluted,,12/31/2026,,2.7,11/10/2025,2.74,9/19/2025,2.74,8/16/2025,3.13,6/26/2025,3.23,5/13/2025,,,,,,,,,,,,,,,,,
,,9/30/2026,,2.45,,2.35,,2.36,,2.56,,2.63,,,,,,,,,,,,,,,,,,
,,6/30/2026,,2.39,,2.33,,2.33,,2.52,,2.58,,,,,,,,,,,,,,,,,,
,,3/30/2026,,1.94,,1.94,,1.95,,2.1,,2.13,,,,,,,,,,,,,,,,,,
,,12/31/2025,,2.31,1/29/2025,2.39,1/29/2025,2.37,1/29/2025,2.76,1/29/2025,2.77,1/29/2025,,,,,,,,,,,,,,,,,
,11/6/2025,9/30/2025,-10.15,2.37,,2.08,,2.1,,2.29,,2.35,,,,,,,,,,,,,,,,,,
,8/6/2025,6/30/2025,1.99,2.35,,2.28,,2.32,,2.45,,,,,,,,,,,,,,,,,,,,
,5/7/2025,3/30/2025,1.69,2.08,,1.96,,1.98,,2.03,,,,,,,,,,,,,,,,,,,,
,2/25/2025,12/31/2024,2.07,2.88,4/7/2024,2.56,4/7/2024,2.56,4/7/2024,2.72,4/7/2024,,,,,,,,,,,,,,,,,,,
,10/31/2024,9/30/2024,2.11,2.33,,2.49,,2.49,,2.69,,,,,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,2.13,2.39,,2.33,,2.36,,2.54,,,,,,,,,,,,,,,,,,,,
,5/8/2024,3/30/2024,1.59,1.89,,2.07,,2.09,,2.23,,,,,,,,,,,,,,,,,,,,
,2/20/2024,12/31/2023,1.42,2.65,4/4/2023,2.45,4/4/2023,2.52,4/4/2023,2.7,4/4/2023,,,,,,,,,,,,,,,,,,,
,11/8/2023,9/30/2023,2.01,2.35,,2.33,,2.39,,2.53,,,,,,,,,,,,,,,,,,,,
,8/5/2023,6/30/2023,2.16,2.47,,2.35,,2.35,,2.36,,,,,,,,,,,,,,,,,,,,
,5/10/2023,3/30/2023,1.82,2.19,,1.96,,1.99,,2.15,,,,,,,,,,,,,,,,,,,,
,2/21/2023,12/31/2022,2.45,2.57,,2.42,,2.43,,2.48,,,,,,,,,,,,,,,,,,,,
,11/9/2022,9/30/2022,1.92,2.18,,2.37,,2.38,,2.38,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,2.07,2.23,,2.1,,2.1,,2.22,,,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,1.52,2.13,,2.1,,2.11,,2.15,,,,,,,,,,,,,,,,,,,,
,2/22/2022,12/31/2021,1.8,2.11,,2.05,,2.04,,2.16,,,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,3.09,1.92,,2.05,,2.05,,2.1,,,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,2.13,2.11,,2.02,,1.93,,1.82,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,1.59,1.79,,1.55,,1.41,,1.25,,,,,,,,,,,,,,,,,,,,
,3/1/2021,12/31/2020,0.94,1.62,,1.36,,1.36,,1.34,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,1.1,1.34,,0.98,,1.82,,1.86,,,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,0.39,0.55,,1.84,,1.89,,1.89,,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,1.33,1.46,,1.51,,1.56,,1.56,,,,,,,,,,,,,,,,,,,,
,2/26/2020,12/31/2019,1.96,2,,1.74,,1.87,,2.02,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,1.47,1.72,,1.63,,1.64,,1.79,,,,,,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,1.66,1.7,,1.76,,1.77,,1.82,,,,,,,,,,,,,,,,,,,,
,5/8/2019,3/29/2019,1.241218683,1.38,,1.35,,1.52,,1.32,,,,,,,,,,,,,,,,,,,,
,2/27/2019,12/31/2018,1.703011367,1.7,,1.64,,1.65,,1.69,,,,,,,,,,,,,,,,,,,,
,11/7/2018,9/28/2018,1.311783652,1.31,,1.57,,1.6,,1.66,,,,,,,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,1.511227868,1.51,,1.57,,1.69,,1.68,,,,,,,,,,,,,,,,,,,,
,5/9/2018,3/29/2018,1.177190362,1.18,,1.4,,1.37,,1.3,,,,,,,,,,,,,,,,,,,,
