CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,
Non-GAAP,,12/31/2026,,0.55,12/15/2025,0.54,11/4/2025,0.52,9/12/2025,0.54,8/4/2025,0.54,6/25/2025,0.61,5/12/2025,0.66,4/22/2025
,,9/30/2026,,0.52,,0.51,,0.47,,0.45,,0.4,,0.48,,0.58,
,,6/30/2026,,0.44,,0.43,,0.43,,0.38,,0.31,,0.38,,0.45,
,,3/30/2026,,0.31,,0.3,,0.27,,0.27,,0.22,,0.25,,0.28,
,,12/31/2025,,0.49,12/15/2024,0.49,12/15/2024,0.48,12/15/2024,0.5,12/15/2024,0.44,12/15/2024,0.53,12/15/2024,0.64,12/15/2024
,10/30/2025,9/30/2025,0.12,0.51,,0.36,,0.37,,0.3,,0.42,,0.51,,,
,7/31/2025,6/30/2025,0.12,0.45,,0.26,,0.34,,0.42,,,,,,,
,5/6/2025,3/30/2025,-0.15,0.26,,0.21,,0.21,,0.21,,,,,,,
,2/6/2025,12/31/2024,0.34,0.6,4/5/2024,0.58,4/5/2024,0.57,4/5/2024,0.47,4/5/2024,,,,,,
,10/30/2024,9/30/2024,0.19,0.56,,0.41,,0.41,,0.41,,,,,,,
,8/1/2024,6/30/2024,0.08,0.51,,0.14,,0.21,,0.27,,,,,,,
,5/2/2024,3/30/2024,-0.34,0.03,,-0.09,,-0.05,,0.29,,,,,,,
,2/8/2024,12/31/2023,-0.32,0.33,4/10/2023,0.16,4/10/2023,0.26,4/10/2023,0.38,4/10/2023,,,,,,
,11/2/2023,9/30/2023,0.12,0.62,,0.47,,0.47,,0.45,,,,,,,
,8/3/2023,6/30/2023,0.08,0.57,,0.29,,0.31,,0.37,,,,,,,
,5/2/2023,3/30/2023,-0.33,0.39,,0.07,,0.06,,0.2,,,,,,,
,2/28/2023,12/31/2022,-0.64,0.33,,0.1,,0.1,,0.48,,,,,,,
,11/2/2022,9/30/2022,0.37,1,,0.95,,0.97,,0.97,,,,,,,
,8/4/2022,6/30/2022,0.2,0.84,,0.86,,0.85,,0.87,,,,,,,
,4/28/2022,3/31/2022,0.17,0.83,,0.69,,0.69,,0.75,,,,,,,
,2/14/2022,12/31/2021,0.28,0.92,,0.92,,0.92,,0.95,,,,,,,
,11/2/2021,9/30/2021,0.61,1.08,,0.91,,0.91,,0.92,,,,,,,
,7/29/2021,6/30/2021,0.43,0.97,,0.82,,0.83,,0.84,,,,,,,
,4/29/2021,3/31/2021,0.3,0.83,,0.66,,0.66,,0.72,,,,,,,
,2/1/2021,12/31/2020,0.37,0.91,,0.75,,0.75,,0.72,4/10/2020,,,,,,
,10/27/2020,9/30/2020,0.2,0.6,,0.5,,0.49,,0.55,,,,,,,
,7/28/2020,6/30/2020,-0.1,0.37,,0.24,,0.25,,0.24,,,,,,,
,5/7/2020,3/31/2020,0.26,0.66,,0.55,,0.56,,0.56,,,,,,,
,2/6/2020,12/31/2019,0.51,0.77,,0.78,,0.78,,0.79,,,,,,,
,10/24/2019,9/30/2019,0.464159621,0.76,,0.71,,0.72,,0.73,0.7,,,,,,
,7/25/2019,6/28/2019,0.372010711,0.67,,0.63,,0.56,,0.54,0.55,,,,,,
,4/25/2019,3/29/2019,0.077670821,0.61,,0.41,,0.39,,0.4,,,,,,,
,2/7/2019,12/31/2018,0.356758712,0.7,,0.67,,0.58,,0.6,,,,,,,
,10/25/2018,9/28/2018,0.333529124,0.63,,0.56,,0.52,,,,,,,,,
,7/26/2018,6/29/2018,0.1647,0.46,,0.39,,0.47,,,,,,,,,
,4/26/2018,3/29/2018,0.06852939,0.29,,0.41,,,,,,,,,,,
,2/1/2018,12/29/2017,0.615242389,,,0.52,,0.55,,0.53,0.6,,,,,,
,10/26/2017,9/29/2017,0.159879917,,,0.42,,0.47,,0.48,,,,,,,
,7/27/2017,6/30/2017,0.021813917,,,0.23,,0.32,,0.4,0.44,,,,,,
,5/4/2017,3/31/2017,-0.291910966,,,0.02,,0.38,,0.32,,,,,,,
,2/15/2017,12/30/2016,0.004214086,,,0.41,,0.49,,0.5,0.45,,,,,,
,10/27/2016,9/30/2016,0.053480407,,,0.41,,0.44,,0.42,0.41,,,,,,
,7/28/2016,6/30/2016,-0.032206074,,,0.32,,0.36,,0.38,0.39,,,,,,
,4/28/2016,3/31/2016,-0.010576385,,,0.26,,0.33,,0.35,0.34,,,,,,
,,12/31/2015,0.211627778,,,0.39,,0.4,,0.38,0.37,,,,,,
,,9/30/2015,0.219484882,,,0.36,,0.35,,0.36,0.37,,,,,,
,,6/30/2015,0.236321901,,,0.32,,0.33,,0.35,,,,,,,
,,3/31/2015,0.171154575,,,0.23,,0.29,,,,,,,,,
,,12/31/2014,0.252453191,,,0.33,,0.34,,,,,,,,,
,,9/30/2014,0.19817007,,,0.31,,,,,,,,,,,
,,6/30/2014,0.212709596,,,0.29,,,,,,,,,,,
,,3/31/2014,0.170610109,,,0.24,,,,,,,,,,,
,,12/31/2013,0.186369844,,,0.28,,,,,,,,,,,
,,9/30/2013,0.214285714,,,,,,,,,,,,,,
,,6/28/2013,0.170068412,,,,,,,,,,,,,,
,,3/28/2013,0.097214245,,,,,,,,,,,,,,
,,12/31/2012,0.214285714,,,,,,,,,,,,,,
,,9/28/2012,0.203123165,,,,,,,,,,,,,,
,,6/29/2012,0.040039632,,,,,,,,,,,,,,
,,3/30/2012,0.068460441,,,,,,,,,,,,,,
,,12/30/2011,0.121299173,,,,,,,,,,,,,,
,,9/30/2011,0.087495251,,,,,,,,,,,,,,
,,6/30/2011,0.076130779,,,,,,,,,,,,,,
,,3/31/2011,0.019649246,,,,,,,,,,,,,,
,,12/31/2010,0.019823009,,,,,,,,,,,,,,
,,9/30/2010,0.038044126,,,,,,,,,,,,,,
,,6/30/2010,0.058740882,,,,,,,,,,,,,,
,,3/31/2010,0.029529756,,,,,,,,,,,,,,
,,12/31/2009,0.017131609,,,,,,,,,,,,,,
,,9/30/2009,0.026374305,,,,,,,,,,,,,,
,,6/30/2009,0.028284472,,,,,,,,,,,,,,
,,3/31/2009,-0.059485582,,,,,,,,,,,,,,
,,12/31/2008,0.104336086,,,,,,,,,,,,,,
,,9/30/2008,0.090671479,,,,,,,,,,,,,,
,,6/30/2008,0.084580171,,,,,,,,,,,,,,
,,3/31/2008,0.104912596,,,,,,,,,,,,,,
,,12/31/2007,0.394912024,,,,,,,,,,,,,,
,,9/28/2007,0.19367622,,,,,,,,,,,,,,
,,6/29/2007,0.551095002,,,,,,,,,,,,,,
,,3/30/2007,0.129710809,,,,,,,,,,,,,,
,,12/29/2006,0.136662111,,,,,,,,,,,,,,
,,9/29/2006,0.105806452,,,,,,,,,,,,,,
,,6/30/2006,0.074821103,,,,,,,,,,,,,,
,,3/31/2006,0.036553337,,,,,,,,,,,,,,
,,12/30/2005,0.081103618,,,,,,,,,,,,,,
,,9/30/2005,0.051837198,,,,,,,,,,,,,,
,,6/30/2005,0.002467936,,,,,,,,,,,,,,
,,3/31/2005,-0.227226363,,,,,,,,,,,,,,
,,12/31/2004,0.1,,,,,,,,,,,,,,
,,9/30/2004,0.12,,,,,,,,,,,,,,
,,6/30/2004,0.09,,,,,,,,,,,,,,
,,3/31/2004,0.08,,,,,,,,,,,,,,
,,12/31/2003,0.13,,,,,,,,,,,,,,
,,9/30/2003,0.09,,,,,,,,,,,,,,
,,6/30/2003,0.05,,,,,,,,,,,,,,
,,3/31/2003,0.02,,,,,,,,,,,,,,
,,12/31/2002,-0.23,,,,,,,,,,,,,,
,,9/30/2002,-0.16,,,,,,,,,,,,,,
,,6/28/2002,0.08,,,,,,,,,,,,,,
,,3/28/2002,0.07,,,,,,,,,,,,,,
,,12/31/2001,0.06,,,,,,,,,,,,,,
