CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2021,0.32,1/19/2021,0.32,1/2/2021,0.32,11/29/2020,0.3,10/28/2020,0.3,9/26/2020,0.3,8/30/2020,0.28,7/30/2020,0.28,7/29/2020,,,,,,,,,,,,,
,,9/30/2021,0.39,,0.39,,0.39,,0.32,,0.3,,0.3,,0.31,,0.31,,0.28,,,,,,,,,,,,
,,6/30/2021,0.46,,0.46,,0.47,,0.44,,0.43,,0.43,,0.39,,0.39,,0.35,,,,,,,,,,,,
,,3/31/2021,0.6,,0.6,,0.61,,0.61,,0.61,,0.61,,0.61,,0.61,,0.58,,,,,,,,,,,,
,,12/31/2020,0.39,,0.39,,0.39,,0.38,,0.37,,0.37,,0.35,,0.35,,0.32,,0.28,,0.15,,0.13,,0.21,,0.22,,0.221487603
,10/28/2020,9/30/2020,0.51,,0.37,,0.37,,0.29,,0.29,,0.24,,0.23,,0.24,,0.22,,0.2,,0.29,,0.299008264,,,,,,
,7/29/2020,6/30/2020,0.56690555,,0.36,,0.34,,0.33,,0.32,,0.29,,0.3,,0.34,,0.35,,0.354380165,,,,,,,,,,
,5/5/2020,3/31/2020,0.779716004,,0.54,,0.49,,0.46,,0.47,,0.49,,0.5,,0.465123967,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.26758812,,0.14,,0.13,,0.19,,0.2,,0.21,,0.2,,0.21,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.2222147,,0.19,,0.25,,0.26,,0.27,,0.3,,0.31,,0.32,,0.31,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.298414333,,0.3,,0.31,,0.32,,0.35,,0.36,,0.37,,0.38,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.455045753,,0.41,,0.42,,0.45,,0.46,,0.47,,0.49,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.099711141,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,10/1/2018,0.293824974,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.320808848,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.498115916,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,0.294513891,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.230211304,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.293692157,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.33027464,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.118131296,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.15920786,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2016,0.245607203,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2016,0.301722562,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.181295981,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/25/2015,0.20510157,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2015,0.200847713,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2015,0.240973232,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/26/2014,0.114463583,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2014,0.168917605,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2014,0.195736145,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.220054275,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
