CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
N,,12/31/2026,,1.75,11/8/2025,1.84,10/20/2025,1.82,9/7/2025,1.86,8/1/2025,1.69,6/14/2025
See 99.2,,9/30/2026,,1.63,,1.73,,1.73,,1.73,,1.68,
,,6/30/2026,,1.2,,1.22,,1.24,,1.24,,1.3,
,,3/30/2026,,1.02,,0.97,,0.92,,0.97,,1.02,
,,12/31/2025,,1.29,1/22/2025,1.59,1/22/2025,1.61,1/22/2025,1.56,1/22/2025,1.27,1/22/2025
,11/4/2025,9/30/2025,0.34,1.43,,1.18,,1.17,,1.29,,1.91,
,7/29/2025,6/30/2025,0.07,1.08,,0.89,,0.74,,1.06,,,
,4/30/2025,3/30/2025,0.6,0.75,,0.66,,0.66,,0.94,,,
,2/6/2025,12/31/2024,1.28,1.49,3/30/2024,1.28,3/30/2024,1.27,3/30/2024,1.32,3/30/2024,,
,10/29/2024,9/30/2024,0.6,1.22,,1.05,,1.04,,0.88,,,
,7/30/2024,6/28/2024,-0.07,1.09,,0.84,,0.84,,0.89,,,
,5/2/2024,3/28/2024,0.13,0.56,,0.53,,0.56,,0.71,,,
,2/1/2024,12/29/2023,-2.03,0.92,,0.78,,0.77,,0.76,,,
,10/27/2023,9/29/2023,0.03,1.05,,0.81,,0.79,,0.87,,,
,8/1/2023,6/30/2023,1.18,-0.11,,-0.39,,-0.39,,0.26,,,
,5/4/2023,3/31/2023,-1.26,-0.41,,-0.47,,2.57,,3.345,,,
,2/2/2023,12/30/2022,-0.35,-0.1,,-0.31,,2.76,,3.32,,,
,10/27/2022,9/30/2022,5.500651042,0.76,,0.7,,2.67,,3.2,,,
,7/28/2022,6/30/2022,0.568424044,1.77,,2.12,,2.53,,3.01,,,
,4/28/2022,4/1/2022,1.061585244,2.1,,1.7,,2.45,,2.84,,,
,2/1/2022,12/31/2021,1.986903128,2.43,,2.05,,2.85,,2.71,,,
,10/28/2021,9/30/2021,2.565087072,2.77,,2.47,,2.58,,2.53,,,
,7/27/2021,7/2/2021,2.814242655,3.08,,2.9,,2.85,,2.6,,,
,4/28/2021,4/1/2021,2.983397828,3.13,,2.56,,2.53,,1.59,,,
,1/28/2021,12/31/2020,2.875367269,3.29,,2.98,,2.74,,2.42,,,
,10/27/2020,9/25/2020,2.440321325,2.89,,2.73,,2.6,,1.8,,,
,7/30/2020,6/30/2020,1.516016451,1.6,,1.16,,0.83,,1.85,,,
,4/30/2020,3/27/2020,0.876875374,1.2,,1.1,,1.18,,1.58,,,
,,12/27/2019,1.316415858,,,2.18,,2.45,,2.47,,,
,,9/27/2019,1.530310776,,,2.03,,2.04,,2.25,,,
,,6/28/2019,2.369677703,,,2.54,,2.55,,2.56,,,
,,3/29/2019,1.133361795,,,1.11,,1.1,,1.65,,,
,,12/31/2018,-0.445114749,,,2.1,,2.37,,2.4,,,
,,9/28/2018,1.645429253,,,2.04,,2.55,,2.58,,,
,,6/29/2018,1.925321652,,,2.02,,2.04,,2.1,,,
,,3/29/2018,1.108476008,,,1.35,,1.37,,1.35,,,
,,12/29/2017,1.834928167,,,2.14,,2.13,,2.06,,,
,,9/29/2017,1.79659551,,,1.87,,1.91,,1.9,,,
,,6/30/2017,1.820976706,,,1.97,,1.96,,1.97,,,
,,3/31/2017,2.59427425,,,1.19,,1.18,,1.36,,,
,,12/30/2016,1.709716274,,,1.68,,1.73,,1.74,,,
,,9/30/2016,1.682040885,,,1.62,,1.61,,1.62,,,
,,7/1/2016,1.84364029,,,1.72,,1.71,,1.7,,,
,,4/1/2016,1.283032672,,,1.14,,1.3,,1.31,,,
,,12/31/2015,1.769764031,,,1.76,,1.77,,1.68,,,
,,10/2/2015,1.516769354,,,1.44,,1.45,,1.6,,,
,,7/2/2015,1.488245351,,,1.44,,1.49,,1.56,,,
,,4/2/2015,1.036815577,,,0.95,,1.18,,1.19,,,
,,1/2/2015,0.911175967,,,1.52,,1.59,,1.61,,,
,,9/26/2014,1.474013277,,,1.44,,1.45,,1.43,,,
,,6/30/2014,1.355955557,,,1.37,,1.44,,1.41,,,
,,3/31/2014,1.018552887,,,0.96,,0.97,,1.11,,,
,,12/31/2013,0.352386935,,,1.3,,1.31,,1.46,,,
,,9/30/2013,1.044517854,,,1.38,,1.39,,1.54,,,
,,6/28/2013,1.181552374,,,1.2,,1.21,,1.37,,,
,,3/28/2013,0.510082141,,,0.96,,0.97,,1.22,,,
,,12/31/2012,2.990525849,,,1.28,,1.44,,1.46,,,
,,9/28/2012,0.693796185,,,1.45,,,,,,,
,,6/29/2012,0.921862066,,,1.52,,,,,,,
,,3/30/2012,0.720931884,,,1.13,,,,,,,
,,12/30/2011,0.982077093,,,nan,,,,,,,
,,9/30/2011,0.915356196,,,nan,,,,,,,
,,7/1/2011,1.139968222,,,nan,,,,,,,
,,4/1/2011,0.922969554,,,nan,,,,,,,
,,1/3/2011,0.81,,,nan,,,,,,,
,,10/1/2010,0.729473204,,,nan,,,,,,,
,,7/2/2010,0.275764071,,,nan,,,,,,,
,,4/1/2010,-1.111884675,,,nan,,,,,,,
,,12/31/2009,0.69,,,nan,,,,,,,
,,10/2/2009,0.749705207,,,nan,,,,,,,
,,6/30/2009,0.871538925,,,nan,,,,,,,
,,3/31/2009,0.47,,,nan,,,,,,,
,,12/31/2008,-0.01,,,nan,,,,,,,
,,9/30/2008,2.04,,,nan,,,,,,,
,,6/30/2008,0.98,,,nan,,,,,,,
,,3/31/2008,0.83,,,nan,,,,,,,
,,12/31/2007,1.11,,,nan,,,,,,,
,,9/28/2007,1.09,,,nan,,,,,,,
,,6/29/2007,1.01,,,nan,,,,,,,
,,3/30/2007,0.8,,,nan,,,,,,,
,,12/29/2006,1.03,,,nan,,,,,,,
,,9/29/2006,1.09,,,nan,,,,,,,
,,6/30/2006,0.9,,,nan,,,,,,,
,,3/31/2006,0.45,,,nan,,,,,,,
,,12/30/2005,0.7,,,nan,,,,,,,
,,9/30/2005,0.9,,,nan,,,,,,,
,,7/1/2005,0.78,,,nan,,,,,,,
,,4/1/2005,0.78,,,nan,,,,,,,
,,12/31/2004,1.06,,,nan,,,,,,,
,,10/1/2004,0.76,,,nan,,,,,,,
,,7/2/2004,0.73,,,nan,,,,,,,
,,4/2/2004,1.84,,,nan,,,,,,,
,,1/2/2004,0.39,,,nan,,,,,,,
,,9/26/2003,0.51,,,nan,,,,,,,
,,6/27/2003,0.14,,,nan,,,,,,,
,,3/28/2003,0.22,,,nan,,,,,,,
,,12/27/2002,0.21,,,nan,,,,,,,
,,9/27/2002,0.62,,,nan,,,,,,,
,,6/28/2002,0.72,,,nan,,,,,,,
,,3/28/2002,0.56,,,nan,,,,,,,
,,12/28/2001,0.07,,,nan,,,,,,,
,,9/28/2001,0.62,,,nan,,,,,,,
,,6/29/2001,0.58,,,nan,,,,,,,
,,3/30/2001,0.54,,,nan,,,,,,,
,,12/29/2000,0.52,,,nan,,,,,,,
,,9/29/2000,0.56,,,nan,,,,,,,
,,6/30/2000,0.58,,,nan,,,,,,,
,,3/31/2000,0.54,,,nan,,,,,,,
,,12/31/1999,0.47,,,nan,,,,,,,
,,10/1/1999,0.56,,,nan,,,,,,,
,,7/2/1999,0.28,,,nan,,,,,,,
,,4/1/1999,0.34,,,nan,,,,,,,
,,12/31/1998,0.29,,,nan,,,,,,,
,,10/2/1998,0.37,,,nan,,,,,,,
,,7/2/1998,0.47,,,nan,,,,,,,
,,4/3/1998,0.4,,,nan,,,,,,,
,,1/2/1998,0.3,,,nan,,,,,,,
,,9/26/1997,-0.46,,,nan,,,,,,,
,,6/27/1997,-0.72,,,nan,,,,,,,
,,3/27/1997,0.41,,,nan,,,,,,,
,,12/27/1996,-0.03,,,nan,,,,,,,
,,9/27/1996,0.42,,,nan,,,,,,,
,,6/28/1996,0.37,,,nan,,,,,,,
,,3/29/1996,0.33,,,nan,,,,,,,
,,12/29/1995,0.01,,,nan,,,,,,,
,,9/29/1995,-0.04,,,nan,,,,,,,
,,6/30/1995,0.71,,,nan,,,,,,,
,,3/31/1995,0.65,,,nan,,,,,,,
,,12/30/1994,0.75,,,nan,,,,,,,
,,9/30/1994,0.72,,,nan,,,,,,,
,,7/1/1994,0.75,,,nan,,,,,,,
