CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2021,0.96,10/26/2020,0.96,10/7/2020,0.96,9/2/2020,0.94,8/2/2020,0.94,7/31/2020,,,,,,,,,,,
,,9/30/2021,0.86,,0.86,,0.86,,0.86,,0.86,,,,,,,,,,,,
,,6/30/2021,0.87,,0.87,,0.87,,0.81,,0.81,,,,,,,,,,,,
,,3/31/2021,0.88,,0.88,,0.88,,0.86,,0.86,,,,,,,,,,,,
,,12/31/2020,0.05,,0.05,,0.05,,0.24,,0.24,,,,,,,,,,,,
,10/26/2020,9/30/2020,0.48,,0.16,,0.16,,0.43,,0.43,,,,,,,,,,,,
,7/27/2020,6/30/2020,1.87,,1.87,,,,,,,,,,,,,,,,,,
,4/28/2020,3/31/2020,1.31,,1.31,,,,,,,,,,,,,,,,,,
,2/13/2020,12/31/2019,0.68,,0.68,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,0.78,,0.78,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,0.64,,0.64,,,,,,,,,,,,,,,,,,
,4/29/2019,3/29/2019,0.89,,0.89,,,,,,,,,,,,,,,,,,
,2/14/2019,12/31/2018,0.4,,0.4,,,,,,,,,,,,,,,,,,
,10/29/2018,9/28/2018,0.71,,0.71,,,,,,,,,,,,,,,,,,
,7/30/2018,6/29/2018,0.8,,0.8,,,,,,,,,,,,,,,,,,
,4/30/2018,3/29/2018,0.75,,0.75,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,0.92,,0.92,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.6,,0.6,,,,,,,,,,,,,,,,,,
,7/31/2017,6/30/2017,0.56,,0.56,,,,,,,,,,,,,,,,,,
,5/2/2017,3/31/2017,0.41,,0.41,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.32,,0.32,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.2,,0.2,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.16,,0.16,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.2,,0.2,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,6/30/2015,-0.02,,-0.02,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.01,,0.01,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.03,,0.03,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.11,,0.11,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.6,,-0.6,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.08,,0.08,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.2,,0.2,,,,,,,,,,,,,,,,,,
