CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2021,2.3,12/27/2020,2.3,11/26/2020,1.709063963,10/22/2020,1.709063963,10/7/2020,1.709063963,9/30/2020,,,,,,,,,,,,,,,,,,,
,,9/30/2021,2.36,,2.36,,1.666068643,,1.666068643,,1.666068643,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,2.33,,2.33,,1.537082683,,1.537082683,,1.537082683,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,1.92,,1.92,,2.139017161,,2.139017161,,2.139017161,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,1.79,,1.79,,1.61,,1.61,,1.61,,1.59,,1.7,,2.26,,2.52,,2.16,,,,,,,,,,
,10/20/2020,9/30/2020,1.84,,1.72,,1.72,,1.55,,1.69,,2.41,,2.4,,2.37,,,,,,,,,,,,,,
,7/22/2020,6/30/2020,1.052908574,,1.44,,1.43,,1.34,,2.29,,2.75,,,,,,,,,,,,,,,,,,
,4/22/2020,3/31/2020,1.992157409,,1.39,,1.73,,1.89,,1.85,,,,,,,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,1.655260233,,1.86,,2.4,,2.32,,2.27,,2.11,,1.94,,2.53,,2.47,,,,,,,,,,,,
,10/23/2019,9/30/2019,1.83927426,,2.3,,2.34,,2.32,,2.13,,1.98,,1.81,,2.31,,2.33,,,,,,,,,,,,
,7/23/2019,6/28/2019,1.9,,2.25,,2.3,,2.2,,2.17,,2.07,,2.56,,2.77,,,,,,,,,,,,,,
,4/23/2019,3/29/2019,1.66,,1.74,,1.93,,2.02,,1.92,,2.1,,1.93,,,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.800598341,,1.9,,1.87,,1.94,,1.99,,2.05,,1.91,,1.97,,2.16,,,,,,,,,,,,
,10/23/2018,9/28/2018,0.198997853,,1.71,,1.78,,1.86,,1.92,,1.74,,1.69,,1.8,,,,,,,,,,,,,,
,7/23/2018,6/29/2018,1.445867696,,1.95,,2.29,,2.3,,2.26,,2.18,,2.02,,2.19,,,,,,,,,,,,,,
,4/18/2018,3/29/2018,1.723153185,,1.81,,1.73,,1.81,,1.77,,,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,-0.16002659,,1.69,,1.77,,1.8,,1.78,,1.8,,1.83,,,,,,,,,,,,,,,,
,10/18/2017,9/29/2017,1.547536372,,1.61,,1.6,,1.61,,1.81,,1.96,,,,,,,,,,,,,,,,,,
,7/19/2017,6/30/2017,2.008091469,,1.96,,2.03,,2.04,,2.01,,1.64,,,,,,,,,,,,,,,,,,
,4/19/2017,3/31/2017,1.720167696,,1.64,,1.59,,1.45,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,3.09866879,,1.45,,1.64,,1.65,,1.6,,1.68,,1.66,,,,,,,,,,,,,,,,
,,9/23/2016,1.243347014,,1.49,,1.54,,1.55,,1.61,,1.55,,1.63,,1.73,,,,,,,,,,,,,,
,,6/24/2016,1.847377907,,1.73,,1.74,,1.8,,1.72,,1.74,,,,,,,,,,,,,,,,,,
,,3/31/2016,1.444994741,,1.25,,1.29,,1.38,,1.48,,1.52,,,,,,,,,,,,,,,,,,
,,12/31/2015,-1.335007863,,1.39,,1.41,,1.4,,1.95,,2.34,,2.72,,2.85,,,,,,,,,,,,,,
,,9/25/2015,0.520759603,,1.36,,1.38,,2.04,,2.23,,2.22,,2.5,,2.66,,,,,,,,,,,,,,
,,6/26/2015,1.188614072,,1.7,,2.08,,2.44,,2.43,,2.72,,2.93,,,,,,,,,,,,,,,,
,,3/27/2015,1.281752981,,1.49,,1.64,,2.02,,2.01,,2.2,,2.24,,2.38,,,,,,,,,,,,,,
,,12/31/2014,1.657626285,,1.65,,2.09,,2.41,,2.57,,2.71,,2.72,,2.83,,2.77,,2.79,,2.81,,2.79,,2.88,,2.86,,2.17
